onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549918	17.566904	trialstart	1	9	2	
18.113198	2.487937	ITI	1	9	2	
20.610021	17.244198	trialstart	2	11	2	
37.854201	3.286541	ITI	2	11	2	
41.146061	17.301061	trialstart	3	11	2	
58.447098	2.729662	ITI	3	11	2	
61.182790	17.307433	trialstart	4	12	2	
78.490195	2.223358	ITI	4	12	2	
80.719201	17.697454	trialstart	5	13	2	
98.416632	2.833337	ITI	5	13	2	
101.255947	16.987234	trialstart	6	12	2	
118.243142	3.543566	ITI	6	12	2	
121.819937	17.232698	trialstart	7	12	2	
139.052606	3.298101	ITI	7	12	2	
142.357078	16.838604	trialstart	8	12	2	
159.195656	3.192125	ITI	8	12	2	
162.394233	17.494292	trialstart	9	12	2	
179.888503	2.536416	ITI	9	12	2	
182.431594	17.066841	trialstart	10	9	2	
199.498409	2.464011	ITI	10	9	2	
201.969285	17.239042	trialstart	11	14	2	
219.208303	3.291688	ITI	11	14	2	
222.507057	12.162580	trialstart	12	6	0	
234.669600	8.368132	ITI	12	6	0	
243.044913	16.915984	trialstart	13	15	2	
259.960872	2.614748	ITI	13	15	2	
262.582967	17.604305	trialstart	14	13	2	
280.187248	1.926422	ITI	14	13	2	
282.121317	14.776831	trialstart	15	5	1	
296.898122	5.253881	ITI	15	5	1	
302.159741	14.981430	trialstart	16	11	1	
317.141147	5.049294	ITI	16	11	1	
322.198381	16.801912	trialstart	17	12	2	
339.000267	3.228823	ITI	17	12	2	
342.237228	12.191065	trialstart	18	0	0	
354.428267	8.339759	ITI	18	0	0	
362.776306	17.126568	trialstart	19	15	2	
379.902848	3.404190	ITI	19	15	2	
383.315501	14.547814	trialstart	20	7	1	
397.863289	4.982910	ITI	20	7	1	
402.854766	14.801722	trialstart	21	2	1	
417.656462	4.728992	ITI	21	2	1	
422.394278	14.722188	trialstart	22	16	1	
437.116441	5.308532	ITI	22	16	1	
442.433982	14.925460	trialstart	23	8	1	
457.359416	4.605257	ITI	23	8	1	
461.973832	15.312080	trialstart	24	16	1	
477.285886	4.218637	ITI	24	16	1	
