onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.000650	12.031593	trialstart	1	None	1	0	Reminder
12.031900	7.999509	ITI	1	None	1	0	Reminder
20.034567	12.023579	trialstart	2	None	0	0	Reminder
32.058117	7.506729	ITI	2	None	0	0	Reminder
39.576356	17.022989	trialstart	3	None	12	2	Reminder
56.599301	3.507476	ITI	3	None	12	2	Reminder
60.111211	14.548283	trialstart	1	None	14	1	Partial_Extinction
74.659473	4.982041	ITI	1	None	14	1	Partial_Extinction
79.644430	14.441497	trialstart	2	None	14	1	Partial_Extinction
94.085895	5.588788	ITI	2	None	14	1	Partial_Extinction
99.679446	14.316061	trialstart	3	None	13	1	Partial_Extinction
113.995454	5.214233	ITI	3	None	13	1	Partial_Extinction
119.213997	14.857633	trialstart	4	None	13	1	Partial_Extinction
134.071587	5.672653	ITI	4	None	13	1	Partial_Extinction
139.748795	14.565644	trialstart	5	None	13	1	Partial_Extinction
154.314395	5.464640	ITI	5	None	13	1	Partial_Extinction
159.784258	14.639664	trialstart	6	None	14	1	Partial_Extinction
174.423878	5.890620	ITI	6	None	14	1	Partial_Extinction
180.319472	11.988185	trialstart	1	CSminus	0	0	PIT
192.350754	7.511815	ITI	1	CSminus	0	0	PIT
199.862647	11.987922	trialstart	2	CSminus	0	0	PIT
211.893820	8.012078	ITI	2	CSminus	0	0	PIT
219.905975	11.988328	trialstart	3	CSminus	0	0	PIT
231.936681	8.511672	ITI	3	CSminus	0	0	PIT
240.452129	12.001213	trialstart	4	CSplus	16	0	PIT
252.495949	7.498787	ITI	4	CSplus	16	0	PIT
259.994813	11.984423	trialstart	5	CSplus	20	0	PIT
272.022323	8.015577	ITI	5	CSplus	20	0	PIT
280.037974	11.984725	trialstart	6	CSplus	19	0	PIT
292.065143	8.515275	ITI	6	CSplus	19	0	PIT
300.584809	11.996660	trialstart	7	Baseline	0	0	PIT
312.624479	7.503340	ITI	7	Baseline	0	0	PIT
320.127898	11.996224	trialstart	8	Baseline	0	0	PIT
332.167549	8.003776	ITI	8	Baseline	0	0	PIT
340.171401	11.995937	trialstart	9	Baseline	0	0	PIT
352.210300	8.504063	ITI	9	Baseline	0	0	PIT
360.721898	11.988929	trialstart	10	CSminus	0	0	PIT
372.752960	7.511071	ITI	10	CSminus	0	0	PIT
380.264132	11.989055	trialstart	11	CSminus	0	0	PIT
392.296069	8.010945	ITI	11	CSminus	0	0	PIT
400.307091	11.989566	trialstart	12	CSminus	0	0	PIT
412.338863	8.510434	ITI	12	CSminus	0	0	PIT
420.855864	12.000137	trialstart	13	CSplus	17	0	PIT
432.898167	7.499863	ITI	13	CSplus	17	0	PIT
440.398109	12.000478	trialstart	14	CSplus	21	0	PIT
452.441215	7.999522	ITI	14	CSplus	21	0	PIT
460.440812	11.984568	trialstart	15	CSplus	24	0	PIT
472.467409	8.515432	ITI	15	CSplus	24	0	PIT
480.989774	11.994880	trialstart	16	Baseline	0	0	PIT
493.026694	7.505120	ITI	16	Baseline	0	0	PIT
500.531889	11.995293	trialstart	17	Baseline	0	0	PIT
512.569701	8.004707	ITI	17	Baseline	0	0	PIT
520.574484	11.996017	trialstart	18	Baseline	0	0	PIT
532.612524	8.503983	ITI	18	Baseline	0	0	PIT
541.129737	11.998858	trialstart	19	CSplus	21	0	PIT
553.171893	7.501142	ITI	19	CSplus	21	0	PIT
560.673115	11.998155	trialstart	20	CSplus	22	0	PIT
572.714855	8.501845	ITI	20	CSplus	22	0	PIT
581.216778	12.015233	trialstart	21	CSplus	19	0	PIT
593.274177	7.984767	ITI	21	CSplus	19	0	PIT
601.265719	11.991569	trialstart	22	CSminus	0	0	PIT
