onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.560884	18.133838	trialstart	1	5	2	
18.693426	1.416186	ITI	1	5	2	
20.116738	17.734492	trialstart	2	9	2	
37.851200	2.296406	ITI	2	9	2	
40.151439	16.876509	trialstart	3	7	2	
57.027917	3.654392	ITI	3	7	2	
60.686216	17.467761	trialstart	4	9	2	
78.153947	2.563198	ITI	4	9	2	
80.721193	16.842778	trialstart	5	8	2	
97.563931	2.688116	ITI	5	8	2	
100.256263	17.268614	trialstart	6	8	2	
117.524845	2.762263	ITI	6	8	2	
120.291449	18.041763	trialstart	7	7	2	
138.333181	2.489140	ITI	7	7	2	
140.826861	18.149232	trialstart	8	9	2	
158.976062	1.381656	ITI	8	9	2	
160.362416	17.240580	trialstart	9	8	2	
177.602965	3.290334	ITI	9	8	2	
180.898221	17.497608	trialstart	10	8	2	
198.395798	2.533304	ITI	10	8	2	
200.934138	17.471464	trialstart	11	8	2	
218.405572	3.059424	ITI	11	8	2	
221.470137	17.445030	trialstart	12	9	2	
238.915135	2.585863	ITI	12	9	2	
241.506350	18.385995	trialstart	13	10	2	
259.892308	1.144957	ITI	13	10	2	
261.042668	16.725764	trialstart	14	9	2	
277.768406	3.305172	ITI	14	9	2	
281.079237	17.715280	trialstart	15	7	2	
298.794487	1.815624	ITI	15	7	2	
300.615892	17.588588	trialstart	16	9	2	
318.204449	1.942323	ITI	16	9	2	
320.152675	18.311483	trialstart	17	8	2	
338.464127	2.219411	ITI	17	8	2	
340.689678	17.434346	trialstart	18	8	2	
358.123994	2.096538	ITI	18	8	2	
360.226722	17.074027	trialstart	19	9	2	
377.300718	3.456901	ITI	19	9	2	
380.764015	17.379543	trialstart	20	9	2	
398.143527	2.151349	ITI	20	9	2	
400.301341	16.785672	trialstart	21	7	2	
417.086981	3.745248	ITI	21	7	2	
420.838796	17.290956	trialstart	22	10	2	
438.129720	2.739934	ITI	22	10	2	
440.876348	17.079909	trialstart	23	9	2	
457.956225	3.450982	ITI	23	9	2	
461.414041	17.318366	trialstart	24	9	2	
478.732378	2.712553	ITI	24	9	2	
