onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.095554	14.489849	trialstart	1	None	10	1	Reminder
14.582541	5.060144	ITI	1	None	10	1	Reminder
19.648188	16.709043	trialstart	2	None	13	2	Reminder
36.357186	3.321390	ITI	2	None	13	2	Reminder
39.682568	16.684239	trialstart	3	None	13	2	Reminder
56.366766	3.846177	ITI	3	None	13	2	Reminder
60.224011	14.138933	trialstart	1	None	14	1	Partial_Extinction
74.361171	5.399416	ITI	1	None	14	1	Partial_Extinction
79.764281	14.239287	trialstart	2	None	12	1	Partial_Extinction
94.003539	5.790966	ITI	2	None	12	1	Partial_Extinction
99.798649	12.648367	trialstart	3	None	13	1	Partial_Extinction
112.446975	7.881914	ITI	3	None	13	1	Partial_Extinction
120.333686	11.872927	trialstart	4	None	13	1	Partial_Extinction
132.206570	8.157365	ITI	4	None	13	1	Partial_Extinction
140.368281	11.747930	trialstart	5	None	11	1	Partial_Extinction
152.116168	8.782298	ITI	5	None	11	1	Partial_Extinction
160.903041	11.772592	trialstart	6	None	12	1	Partial_Extinction
172.675590	7.757700	ITI	6	None	12	1	Partial_Extinction
180.458789	9.199237	trialstart	1	Baseline	13	0	PIT
189.703370	10.800763	ITI	1	Baseline	13	0	PIT
200.504355	9.196835	trialstart	2	Baseline	14	0	PIT
209.745793	10.303165	ITI	2	Baseline	14	0	PIT
220.049036	9.196499	trialstart	3	Baseline	13	0	PIT
229.288871	11.303501	ITI	3	Baseline	13	0	PIT
240.596494	9.189777	trialstart	4	CSminus	13	0	PIT
249.831603	10.810223	ITI	4	CSminus	13	0	PIT
260.641899	9.188040	trialstart	5	CSminus	13	0	PIT
269.874492	10.311960	ITI	5	CSminus	13	0	PIT
280.186529	9.188158	trialstart	6	CSminus	14	0	PIT
289.417563	11.311842	ITI	6	CSminus	14	0	PIT
300.733911	9.198427	trialstart	7	CSplus	13	0	PIT
309.976993	10.801573	ITI	7	CSplus	13	0	PIT
320.778644	9.197099	trialstart	8	CSplus	17	0	PIT
330.019871	10.302901	ITI	8	CSplus	17	0	PIT
340.322862	9.197612	trialstart	9	CSplus	12	0	PIT
349.562954	11.302388	ITI	9	CSplus	12	0	PIT
360.874348	9.187474	trialstart	10	CSminus	13	0	PIT
370.105672	10.312526	ITI	10	CSminus	13	0	PIT
380.418293	9.186706	trialstart	11	CSminus	13	0	PIT
389.648812	10.813294	ITI	11	CSminus	13	0	PIT
400.462184	9.202127	trialstart	12	CSminus	21	0	PIT
409.708333	11.297873	ITI	12	CSminus	21	0	PIT
421.013147	9.192792	trialstart	13	CSplus	19	0	PIT
430.251052	10.307208	ITI	13	CSplus	19	0	PIT
440.558338	9.190704	trialstart	14	CSplus	13	0	PIT
449.794137	10.809296	ITI	14	CSplus	13	0	PIT
460.603513	9.189334	trialstart	15	CSplus	14	0	PIT
469.837019	11.310666	ITI	15	CSplus	14	0	PIT
481.154699	9.198074	trialstart	16	Baseline	12	0	PIT
490.396413	10.301926	ITI	16	Baseline	12	0	PIT
500.698416	9.197580	trialstart	17	Baseline	13	0	PIT
509.939661	10.802420	ITI	17	Baseline	13	0	PIT
520.742166	9.197271	trialstart	18	Baseline	10	0	PIT
