onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.008424	2.421033	trialstart	1	empty	69.491525	60.169492
8.011451	3.502855	liking	1	empty	69.491525	60.169492
12.012205	1.073853	intensity	1	empty	69.491525	60.169492
13.086058	6.811623	ITI	1	empty	69.491525	60.169492
20.247418	2.428804	trialstart	2	empty	50.000000	12.711864
26.503185	2.948752	liking	2	empty	50.000000	12.711864
29.951882	1.868942	intensity	2	empty	50.000000	12.711864
31.820824	6.325286	ITI	2	empty	50.000000	12.711864
38.251591	2.428403	trialstart	3	empty	50.000000	12.711864
44.710171	4.332796	liking	3	empty	50.000000	12.711864
49.542915	1.839851	intensity	3	empty	50.000000	12.711864
51.382766	4.767121	ITI	3	empty	50.000000	12.711864
56.255765	2.428882	trialstart	4	neutral	36.440678	22.033898
62.718840	1.949029	liking	4	neutral	36.440678	22.033898
65.167814	4.411657	intensity	4	neutral	36.440678	22.033898
69.579470	4.575065	ITI	4	neutral	36.440678	22.033898
74.260678	2.428747	trialstart	5	neutral	38.983051	40.677966
80.726298	3.498318	liking	5	neutral	38.983051	40.677966
84.724558	1.564503	intensity	5	neutral	38.983051	40.677966
86.289060	5.870262	ITI	5	neutral	38.983051	40.677966
92.265062	2.428856	trialstart	6	neutral	50.000000	12.711864
98.714248	3.654457	liking	6	neutral	50.000000	12.711864
102.868632	1.851342	intensity	6	neutral	50.000000	12.711864
104.719974	5.443862	ITI	6	neutral	50.000000	12.711864
110.269458	2.428872	trialstart	7	chocolate	87.288136	63.559322
116.521859	2.582576	liking	7	chocolate	87.288136	63.559322
119.604372	1.110232	intensity	7	chocolate	87.288136	63.559322
120.714604	7.453644	ITI	7	chocolate	87.288136	63.559322
128.273920	2.428840	trialstart	8	chocolate	61.864407	44.915254
134.728493	1.271743	liking	8	chocolate	61.864407	44.915254
136.500182	2.099443	intensity	8	chocolate	61.864407	44.915254
138.599625	7.573025	ITI	8	chocolate	61.864407	44.915254
146.278944	2.428823	trialstart	9	chocolate	57.627119	26.271186
152.537181	4.986327	liking	9	chocolate	57.627119	26.271186
158.023453	2.210535	intensity	9	chocolate	57.627119	26.271186
160.233988	3.943679	ITI	9	chocolate	57.627119	26.271186
164.283335	2.428877	trialstart	10	empty	55.084746	30.508475
170.743923	4.471538	liking	10	empty	55.084746	30.508475
175.715409	2.371209	intensity	10	empty	55.084746	30.508475
178.086618	4.095484	ITI	10	empty	55.084746	30.508475
182.287697	2.428876	trialstart	11	empty	50.000000	12.711864
