onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549775	17.147558	trialstart	1	20	2	
17.693711	2.407549	ITI	1	20	2	
20.110204	16.624684	trialstart	2	19	2	
36.734868	3.406035	ITI	2	19	2	
40.146194	17.181614	trialstart	3	19	2	
57.327784	2.349096	ITI	3	19	2	
59.682366	16.988742	trialstart	4	17	2	
76.671085	3.041988	ITI	4	17	2	
79.718691	16.645623	trialstart	5	14	2	
96.364292	2.885091	ITI	5	14	2	
99.255249	16.969943	trialstart	6	17	2	
116.225169	2.560776	ITI	6	17	2	
118.791984	14.376297	trialstart	7	17	1	
133.168259	5.654406	ITI	7	17	1	
138.828871	17.314809	trialstart	8	14	2	
156.143658	2.215902	ITI	8	14	2	
158.365972	17.155402	trialstart	9	13	2	
175.521351	2.875299	ITI	9	13	2	
178.403242	17.709976	trialstart	10	12	2	
196.113196	2.320736	ITI	10	12	2	
198.440712	17.032499	trialstart	11	15	2	
215.473187	3.498233	ITI	11	15	2	
218.978380	17.154370	trialstart	12	9	2	
236.132734	2.876356	ITI	12	9	2	
239.016415	17.276040	trialstart	13	12	2	
256.292431	2.754671	ITI	13	12	2	
259.054421	16.764644	trialstart	14	14	2	
275.819042	3.766072	ITI	14	14	2	
279.592577	17.169238	trialstart	15	16	2	
296.761793	3.361515	ITI	15	16	2	
300.130967	17.840190	trialstart	16	11	2	
317.971134	1.690583	ITI	16	11	2	
319.669452	17.145218	trialstart	17	10	2	
336.814648	2.885530	ITI	17	10	2	
339.708144	16.834101	trialstart	18	13	2	
356.542221	3.696606	ITI	18	13	2	
360.246928	14.654605	trialstart	19	14	1	
374.901511	5.876110	ITI	19	14	1	
380.785922	16.607862	trialstart	20	14	2	
397.393758	3.922881	ITI	20	14	2	
401.325132	16.794803	trialstart	21	13	2	
418.119911	3.735915	ITI	21	13	2	
421.864415	18.414542	trialstart	22	12	2	
440.278933	1.116197	ITI	22	12	2	
441.404275	16.751864	trialstart	23	15	2	
458.156102	2.778885	ITI	23	15	2	
460.944059	17.071882	trialstart	24	9	2	
478.015917	3.458851	ITI	24	9	2	
