onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	1.000000	77.118644	0	1
0	0	2	CSplus	0.362474	77.118644	1	2
0	0	3	CSplus	0.306470	77.118644	1	3
0	0	4	CSminus	0.461848	50.000000	1	1
0	0	5	CSminus	0.328744	50.000000	1	2
0	0	6	CSminus	0.409571	50.000000	1	3
0	0	7	CSplus	0.309037	77.118644	1	1
0	0	8	CSplus	0.413684	77.118644	1	2
0	0	9	CSplus	0.464415	77.118644	1	3
0	0	10	CSminus	0.369240	50.000000	1	1
0	0	11	CSminus	0.428525	50.000000	1	2
0	0	12	CSminus	0.356127	50.000000	1	3
0	0	13	CSplus	0.339876	77.118644	1	1
0	0	14	CSplus	0.518337	77.118644	1	2
0	0	15	CSplus	0.647446	77.118644	1	3
0	0	16	CSminus	0.414414	50.000000	1	1
0	0	17	CSminus	0.390668	50.000000	1	2
0	0	18	CSminus	0.383326	50.000000	1	3
0	0	19	CSplus	0.434119	77.118644	1	1
0	0	20	CSplus	0.371177	77.118644	1	2
0	0	21	CSplus	0.296240	77.118644	1	3
0	0	22	CSminus	0.296270	50.000000	1	1
0	0	23	CSminus	0.346525	50.000000	1	2
0	0	24	CSminus	0.470476	50.000000	1	3
0	0	25	CSplus	0.294268	77.118644	1	1
0	0	26	CSplus	0.353867	77.118644	1	2
0	0	27	CSplus	0.753705	77.118644	1	3
0	0	28	CSminus	0.377452	50.000000	1	1
0	0	29	CSminus	0.439260	50.000000	1	2
0	0	30	CSminus	0.304648	50.000000	1	3
0	0	31	CSplus	0.338362	77.118644	1	1
0	0	32	CSplus	0.318669	77.118644	1	2
0	0	33	CSplus	0.346089	77.118644	1	3
0	0	34	CSminus	0.386190	50.000000	1	1
0	0	35	CSminus	0.301585	50.000000	1	2
0	0	36	CSminus	0.344440	50.000000	1	3
0	0	37	CSplus	0.316735	77.118644	1	1
0	0	38	CSplus	0.350606	77.118644	1	2
0	0	39	CSplus	0.393233	77.118644	1	3
0	0	40	CSminus	0.416183	50.000000	1	1
0	0	41	CSminus	0.405065	50.000000	1	2
0	0	42	CSminus	0.350159	50.000000	1	3
0	0	43	CSplus	0.324625	77.118644	1	1
0	0	44	CSplus	0.318720	77.118644	1	2
0	0	45	CSplus	0.794931	77.118644	1	3
0	0	46	CSminus	0.299016	50.000000	1	1
0	0	47	CSminus	0.384654	50.000000	1	2
0	0	48	CSminus	0.301299	50.000000	1	3
0	0	49	CSplus	0.290487	77.118644	1	1
0	0	50	CSplus	0.365814	77.118644	1	2
0	0	51	CSplus	0.364184	77.118644	1	3
0	0	52	CSminus	0.398952	50.000000	1	1
0	0	53	CSminus	0.688280	50.000000	1	2
0	0	54	CSminus	0.345198	50.000000	1	3
0	0	55	CSplus	0.303307	77.118644	1	1
0	0	56	CSplus	0.678046	77.118644	1	2
0	0	57	CSplus	0.358037	77.118644	1	3
0	0	58	CSminus	0.407611	50.000000	1	1
0	0	59	CSminus	0.317726	50.000000	1	2
0	0	60	CSminus	0.349230	50.000000	1	3
0	0	61	CSplus	0.403569	77.118644	1	1
0	0	62	CSplus	0.314212	77.118644	1	2
0	0	63	CSplus	0.299962	77.118644	1	3
0	0	64	CSminus	0.374208	50.000000	1	1
0	0	65	CSminus	0.475635	50.000000	1	2
0	0	66	CSminus	0.231168	50.000000	1	3
0	0	67	CSplus	0.294066	77.118644	1	1
0	0	68	CSplus	0.339411	77.118644	1	2
0	0	69	CSplus	0.325708	77.118644	1	3
0	0	70	CSminus	0.343017	50.000000	1	1
0	0	71	CSminus	0.307323	50.000000	1	2
0	0	72	CSminus	0.411311	50.000000	1	3
0	0	73	CSplus	0.321159	77.118644	1	1
0	0	74	CSplus	0.317401	77.118644	1	2
0	0	75	CSplus	0.442028	77.118644	1	3
0	0	76	CSminus	0.316944	50.000000	1	1
0	0	77	CSminus	0.475681	50.000000	1	2
0	0	78	CSminus	0.472724	50.000000	1	3
0	0	79	CSplus	0.304981	77.118644	1	1
0	0	80	CSplus	0.339177	77.118644	1	2
0	0	81	CSplus	0.342938	77.118644	1	3
0	0	82	CSminus	0.436176	50.000000	1	1
0	0	83	CSminus	0.323338	50.000000	1	2
0	0	84	CSminus	0.459432	50.000000	1	3
0	0	85	CSplus	0.328501	77.118644	1	1
0	0	86	CSplus	0.469000	77.118644	1	2
0	0	87	CSplus	0.319476	77.118644	1	3
0	0	88	CSminus	0.362276	50.000000	1	1
0	0	89	CSminus	0.388843	50.000000	1	2
0	0	90	CSminus	0.468098	50.000000	1	3
0	0	91	CSplus	0.281229	77.118644	1	1
0	0	92	CSplus	0.382606	77.118644	1	2
0	0	93	CSplus	0.268964	77.118644	1	3
0	0	94	CSminus	0.307421	50.000000	1	1
0	0	95	CSminus	0.297453	50.000000	1	2
0	0	96	CSminus	0.304465	50.000000	1	3
0	0	97	CSplus	0.376024	77.118644	1	1
0	0	98	CSplus	0.528308	77.118644	1	2
0	0	99	CSplus	0.288833	77.118644	1	3
0	0	100	CSminus	0.272844	50.000000	1	1
0	0	101	CSminus	0.378289	50.000000	1	2
0	0	102	CSminus	0.320174	50.000000	1	3
0	0	103	CSplus	0.194110	77.118644	1	1
0	0	104	CSplus	0.343432	77.118644	1	2
0	0	105	CSplus	0.362392	77.118644	1	3
0	0	106	CSminus	0.323443	50.000000	1	1
0	0	107	CSminus	0.609841	50.000000	1	2
0	0	108	CSminus	0.416142	50.000000	1	3
0	0	109	Baseline	NaN	50.000000	NaN	NaN
