onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549790	16.658641	trialstart	1	6	2	
17.204784	3.396331	ITI	1	6	2	
20.609828	17.068941	trialstart	2	8	2	
37.678748	2.461787	ITI	2	8	2	
40.145753	16.659631	trialstart	3	9	2	
56.805360	3.871126	ITI	3	9	2	
60.681871	16.666317	trialstart	4	8	2	
77.348165	3.364428	ITI	4	8	2	
80.718151	16.672999	trialstart	5	8	2	
97.391126	3.857729	ITI	5	8	2	
101.254568	16.746043	trialstart	6	8	2	
118.000587	3.784664	ITI	6	8	2	
121.791144	17.302051	trialstart	7	9	2	
139.093170	2.728668	ITI	7	9	2	
141.827956	16.891749	trialstart	8	9	2	
158.719681	3.639024	ITI	8	9	2	
162.364935	14.315095	trialstart	9	9	1	
176.680005	5.715618	ITI	9	9	1	
182.402110	17.286538	trialstart	10	9	2	
199.688623	3.244182	ITI	10	9	2	
202.939308	16.708990	trialstart	11	9	2	
219.648273	3.321745	ITI	11	9	2	
222.976781	16.797797	trialstart	12	9	2	
239.774553	2.732930	ITI	12	9	2	
242.514335	17.536470	trialstart	13	9	2	
260.050780	1.994260	ITI	13	9	2	
262.052103	17.142003	trialstart	14	8	2	
279.194078	2.388717	ITI	14	8	2	
281.589969	16.580812	trialstart	15	9	2	
298.170757	3.949925	ITI	15	9	2	
302.127959	17.418665	trialstart	16	10	2	
319.546599	3.112071	ITI	16	10	2	
322.666178	17.306614	trialstart	17	9	2	
339.972766	2.224116	ITI	17	9	2	
342.204515	17.144823	trialstart	18	10	2	
359.349313	3.385933	ITI	18	10	2	
362.743029	16.832549	trialstart	19	10	2	
379.575553	2.698170	ITI	19	10	2	
382.281628	16.637176	trialstart	20	8	2	
398.918779	3.393542	ITI	20	8	2	
402.320437	17.157827	trialstart	21	9	2	
419.478239	2.372919	ITI	21	9	2	
421.859328	17.645244	trialstart	22	11	2	
439.504546	1.885475	ITI	22	11	2	
441.398542	17.399282	trialstart	23	11	2	
458.797798	2.631439	ITI	23	11	2	
461.437884	17.269611	trialstart	24	10	2	
478.707469	2.761132	ITI	24	10	2	
