onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549800	17.278234	trialstart	1	3	2	
17.824382	2.776780	ITI	1	3	2	
20.609876	14.939599	trialstart	2	5	1	
35.549454	4.591116	ITI	2	5	1	
40.145750	14.497252	trialstart	3	7	1	
54.642980	5.533462	ITI	3	7	1	
60.181787	17.370079	trialstart	4	7	2	
77.551845	3.160664	ITI	4	7	2	
80.718009	17.311285	trialstart	5	7	2	
98.029266	2.219446	ITI	5	7	2	
100.254350	17.050678	trialstart	6	8	2	
117.305006	2.980039	ITI	6	8	2	
120.290872	14.758138	trialstart	7	8	1	
135.048987	4.772568	ITI	7	8	1	
139.827546	14.348308	trialstart	8	7	1	
154.175831	6.182410	ITI	8	7	1	
160.364502	17.836510	trialstart	9	9	2	
178.200983	2.694242	ITI	9	9	2	
180.901682	16.975983	trialstart	10	8	2	
197.877642	3.054733	ITI	10	8	2	
200.938955	18.082577	trialstart	11	9	2	
219.021509	1.948158	ITI	11	9	2	
220.976422	17.620761	trialstart	12	9	2	
238.597160	2.909970	ITI	12	9	2	
241.513996	18.092691	trialstart	13	10	2	
259.606664	2.438027	ITI	13	10	2	
262.051732	18.331241	trialstart	14	11	2	
280.382945	1.699484	ITI	14	11	2	
282.089654	17.320192	trialstart	15	10	2	
299.409823	2.210526	ITI	15	10	2	
301.627736	15.059569	trialstart	16	10	1	
316.687281	5.471144	ITI	16	10	1	
322.165968	17.064718	trialstart	17	10	2	
339.230663	2.466015	ITI	17	10	2	
341.704345	17.235272	trialstart	18	10	2	
358.939594	2.795445	ITI	18	10	2	
361.742981	16.739984	trialstart	19	10	2	
378.482940	2.790736	ITI	19	10	2	
381.281731	17.194451	trialstart	20	10	2	
398.476160	3.336270	ITI	20	10	2	
401.820576	17.181957	trialstart	21	11	2	
419.002505	2.348773	ITI	21	11	2	
421.359588	16.653162	trialstart	22	10	2	
438.012725	3.377570	ITI	22	10	2	
441.398855	17.523449	trialstart	23	11	2	
458.922281	2.007267	ITI	23	11	2	
460.938248	17.494105	trialstart	24	11	2	
478.432329	3.036612	ITI	24	11	2	
