onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549561	12.064665	trialstart	1	3	0	
12.610664	7.989995	ITI	1	3	0	
20.609419	15.107781	trialstart	2	5	1	
35.717178	4.422929	ITI	2	5	1	
40.145340	17.797510	trialstart	3	7	2	
57.942825	1.733230	ITI	3	7	2	
59.681549	14.389154	trialstart	4	4	1	
74.070672	5.141556	ITI	4	4	1	
79.217790	17.628320	trialstart	5	4	2	
96.846084	2.402416	ITI	5	4	2	
99.254185	17.201810	trialstart	6	4	2	
116.455971	2.328911	ITI	6	4	2	
118.790802	18.524672	trialstart	7	5	2	
137.315441	2.006046	ITI	7	5	2	
139.327722	15.481712	trialstart	8	4	1	
154.809394	5.049006	ITI	8	4	1	
159.873533	12.029989	trialstart	9	4	0	
171.903492	7.500899	ITI	9	4	0	
179.410956	15.184728	trialstart	10	5	1	
194.595659	4.846000	ITI	10	5	1	
199.448308	17.839546	trialstart	11	7	2	
217.287830	1.691207	ITI	11	7	2	
218.985971	14.363010	trialstart	12	5	1	
233.348954	5.667727	ITI	12	5	1	
239.023792	17.750438	trialstart	13	7	2	
256.774204	2.280288	ITI	13	7	2	
259.061818	14.406655	trialstart	14	5	1	
273.468448	5.124044	ITI	14	5	1	
278.599867	17.094279	trialstart	15	6	2	
295.694123	3.436443	ITI	15	6	2	
299.138078	16.682444	trialstart	16	6	2	
315.820496	3.348277	ITI	16	6	2	
319.176492	17.686775	trialstart	17	6	2	
336.863241	2.343957	ITI	17	6	2	
339.215094	15.158795	trialstart	18	4	1	
354.373863	5.371936	ITI	18	4	1	
359.753819	17.328885	trialstart	19	6	2	
377.082678	3.201862	ITI	19	6	2	
380.292780	15.200257	trialstart	20	5	1	
395.493009	5.330490	ITI	20	5	1	
400.831890	17.520985	trialstart	21	6	2	
418.352849	3.009740	ITI	21	6	2	
421.371131	14.874500	trialstart	22	6	1	
436.245601	5.156227	ITI	22	6	1	
441.410669	17.593762	trialstart	23	6	2	
459.004407	2.937006	ITI	23	6	2	
461.950531	14.364592	trialstart	24	5	1	
476.315097	5.166111	ITI	24	5	1	
