onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016420	1.370775	trialstart	1	neutral	41.525424	63.559322
5.529426	6.579914	liking	1	neutral	41.525424	63.559322
5.529426	2.659309	intensity	1	neutral	41.525424	63.559322
17.185022	2.672016	ITI	1	neutral	41.525424	63.559322
20.295195	1.414122	trialstart	2	neutral	55.932203	44.915254
23.809069	2.232898	liking	2	neutral	55.932203	44.915254
23.809069	2.924466	intensity	2	neutral	55.932203	44.915254
31.706144	6.472856	ITI	2	neutral	55.932203	44.915254
38.300833	1.402591	trialstart	3	neutral	45.762712	35.593220
41.816569	2.748973	liking	3	neutral	45.762712	35.593220
41.816569	2.172848	intensity	3	neutral	45.762712	35.593220
49.662224	6.510921	ITI	3	neutral	45.762712	35.593220
56.306523	1.373553	trialstart	4	neutral	37.288136	31.355932
59.832871	3.254858	liking	4	neutral	37.288136	31.355932
59.832871	2.116119	intensity	4	neutral	37.288136	31.355932
68.104506	6.045260	ITI	4	neutral	37.288136	31.355932
74.312261	1.410924	trialstart	5	neutral	56.779661	27.966102
77.826703	3.193949	liking	5	neutral	56.779661	27.966102
77.826703	2.395323	intensity	5	neutral	56.779661	27.966102
86.349598	5.843298	ITI	5	neutral	56.779661	27.966102
92.318063	1.404810	trialstart	6	neutral	66.101695	37.288136
95.841121	2.378102	liking	6	neutral	66.101695	37.288136
95.841121	2.068308	intensity	6	neutral	66.101695	37.288136
103.214831	6.977769	ITI	6	neutral	66.101695	37.288136
110.324044	1.396453	trialstart	7	neutral	64.406780	56.779661
113.838857	2.055608	liking	7	neutral	64.406780	56.779661
113.838857	1.443313	intensity	7	neutral	64.406780	56.779661
120.261815	7.928429	ITI	7	neutral	64.406780	56.779661
128.329914	1.404858	trialstart	8	neutral	61.016949	44.915254
131.848697	2.042326	liking	8	neutral	61.016949	44.915254
131.848697	2.346797	intensity	8	neutral	61.016949	44.915254
139.166660	7.037813	ITI	8	neutral	61.016949	44.915254
146.335790	1.406066	trialstart	9	neutral	68.644068	55.084746
149.842480	1.440229	liking	9	neutral	68.644068	55.084746
149.842480	1.635658	intensity	9	neutral	68.644068	55.084746
155.647718	8.563855	ITI	9	neutral	68.644068	55.084746
164.341677	1.381142	trialstart	10	neutral	40.677966	64.406780
167.856818	2.438887	liking	10	neutral	40.677966	64.406780
167.856818	1.571681	intensity	10	neutral	40.677966	64.406780
174.773699	7.418844	ITI	10	neutral	40.677966	64.406780
182.347551	1.386921	trialstart	11	neutral	57.627119	55.084746
185.853428	2.676874	liking	11	neutral	57.627119	55.084746
185.853428	1.900418	intensity	11	neutral	57.627119	55.084746
193.347591	6.856619	ITI	11	neutral	57.627119	55.084746
200.353486	1.406461	trialstart	12	neutral	53.389831	54.237288
203.867919	2.670687	liking	12	neutral	53.389831	54.237288
203.867919	2.276325	intensity	12	neutral	53.389831	54.237288
211.742748	6.486919	ITI	12	neutral	53.389831	54.237288
218.359486	1.419263	trialstart	13	neutral	35.593220	61.864407
221.868276	2.292712	liking	13	neutral	35.593220	61.864407
221.868276	2.187665	intensity	13	neutral	35.593220	61.864407
229.091687	7.156786	ITI	13	neutral	35.593220	61.864407
236.365438	1.361141	trialstart	14	neutral	55.084746	66.101695
239.887905	1.973062	liking	14	neutral	55.084746	66.101695
239.887905	2.363458	intensity	14	neutral	55.084746	66.101695
246.952984	7.243311	ITI	14	neutral	55.084746	66.101695
254.371468	1.399564	trialstart	15	neutral	35.593220	53.389831
257.926483	2.356260	liking	15	neutral	35.593220	53.389831
257.926483	1.779974	intensity	15	neutral	35.593220	53.389831
264.799488	7.441248	ITI	15	neutral	35.593220	53.389831
272.377607	1.382240	trialstart	16	empty	60.169492	42.372881
275.914801	2.603719	liking	16	empty	60.169492	42.372881
275.914801	1.628995	intensity	16	empty	60.169492	42.372881
282.854044	7.375514	ITI	16	empty	60.169492	42.372881
290.383643	1.387239	trialstart	17	empty	57.627119	38.983051
293.898482	1.344841	liking	17	empty	57.627119	38.983051
293.898482	1.907859	intensity	17	empty	57.627119	38.983051
299.858891	8.381708	ITI	17	empty	57.627119	38.983051
308.389765	0.929394	trialstart	18	empty	55.084746	25.423729
311.904666	1.833444	liking	18	empty	55.084746	25.423729
311.904666	1.747745	intensity	18	empty	55.084746	25.423729
317.736422	8.052481	ITI	18	empty	55.084746	25.423729
326.395839	1.406859	trialstart	19	neutral	56.779661	68.644068
329.929637	2.644623	liking	19	neutral	56.779661	68.644068
