onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.478304	71.186441	1	1
0	0	2	CSplus	0.409410	71.186441	1	2
0	0	3	CSplus	0.589620	71.186441	1	3
0	0	4	CSminus	0.377141	71.186441	1	1
0	0	5	CSminus	0.479909	71.186441	1	2
0	0	6	CSminus	0.364785	71.186441	1	3
0	0	7	CSplus	0.346531	71.186441	1	1
0	0	8	CSplus	0.321860	71.186441	1	2
0	0	9	CSplus	0.400734	71.186441	1	3
0	0	10	CSminus	0.315419	71.186441	1	1
0	0	11	CSminus	0.366923	71.186441	1	2
0	0	12	CSminus	0.428762	71.186441	1	3
0	0	13	CSplus	0.453178	71.186441	1	1
0	0	14	CSplus	0.438236	71.186441	1	2
0	0	15	CSplus	0.484028	71.186441	1	3
0	0	16	CSminus	0.531398	71.186441	1	1
0	0	17	CSminus	0.434548	71.186441	1	2
0	0	18	CSminus	0.393124	71.186441	1	3
0	0	19	CSplus	0.415806	71.186441	1	1
0	0	20	CSplus	0.356647	71.186441	1	2
0	0	21	CSplus	0.432268	71.186441	1	3
0	0	22	CSminus	0.489828	71.186441	1	1
0	0	23	CSminus	0.422716	71.186441	1	2
0	0	24	CSminus	0.321023	71.186441	1	3
0	0	25	CSplus	0.440392	71.186441	1	1
0	0	26	CSplus	0.518434	71.186441	1	2
0	0	27	CSplus	0.546326	71.186441	1	3
0	0	28	CSminus	0.387798	71.186441	1	1
0	0	29	CSminus	0.536363	71.186441	1	2
0	0	30	CSminus	0.390708	71.186441	1	3
0	0	31	CSplus	0.408609	71.186441	1	1
0	0	32	CSplus	0.550909	71.186441	1	2
0	0	33	CSplus	0.349480	71.186441	1	3
0	0	34	CSminus	0.299359	71.186441	1	1
0	0	35	CSminus	0.484873	71.186441	1	2
0	0	36	CSminus	0.445865	71.186441	1	3
0	0	37	CSplus	0.322018	71.186441	1	1
0	0	38	CSplus	0.478917	71.186441	1	2
0	0	39	CSplus	0.403982	71.186441	1	3
0	0	40	CSminus	0.388299	71.186441	1	1
0	0	41	CSminus	0.425370	71.186441	1	2
0	0	42	CSminus	0.339747	71.186441	1	3
0	0	43	CSplus	0.333877	71.186441	1	1
0	0	44	CSplus	0.485490	71.186441	1	2
0	0	45	CSplus	0.501124	71.186441	1	3
0	0	46	CSminus	0.407801	71.186441	1	1
0	0	47	CSminus	0.519824	71.186441	1	2
0	0	48	CSminus	0.396635	71.186441	1	3
0	0	49	CSplus	0.353873	71.186441	1	1
0	0	50	CSplus	0.374476	71.186441	1	2
0	0	51	CSplus	0.481402	71.186441	1	3
0	0	52	CSminus	0.393913	71.186441	1	1
0	0	53	CSminus	0.460311	71.186441	1	2
0	0	54	CSminus	0.371560	71.186441	1	3
0	0	55	CSplus	0.312401	71.186441	1	1
0	0	56	CSplus	0.442354	71.186441	1	2
0	0	57	CSplus	0.329505	71.186441	1	3
0	0	58	CSminus	0.298173	71.186441	1	1
0	0	59	CSminus	0.368832	71.186441	1	2
0	0	60	CSminus	0.613870	71.186441	1	3
0	0	61	CSplus	0.488603	71.186441	1	1
0	0	62	CSplus	0.393294	71.186441	1	2
0	0	63	CSplus	0.392642	71.186441	1	3
0	0	64	CSminus	0.320780	71.186441	1	1
0	0	65	CSminus	0.432020	71.186441	1	2
0	0	66	CSminus	0.370817	71.186441	1	3
0	0	67	CSplus	0.440323	71.186441	1	1
0	0	68	CSplus	0.379351	71.186441	1	2
0	0	69	CSplus	0.427504	71.186441	1	3
0	0	70	CSminus	0.361828	71.186441	1	1
0	0	71	CSminus	0.374176	71.186441	1	2
0	0	72	CSminus	0.405094	71.186441	1	3
0	0	73	CSplus	0.534596	71.186441	1	1
0	0	74	CSplus	0.403175	71.186441	1	2
0	0	75	CSplus	0.422596	71.186441	1	3
0	0	76	CSminus	0.373944	71.186441	1	1
0	0	77	CSminus	0.753621	71.186441	1	2
0	0	78	CSminus	0.427976	71.186441	1	3
0	0	79	CSplus	0.522403	71.186441	1	1
0	0	80	CSplus	0.419876	71.186441	1	2
0	0	81	CSplus	0.461472	71.186441	1	3
0	0	82	CSminus	0.370751	71.186441	1	1
0	0	83	CSminus	0.683324	71.186441	1	2
0	0	84	CSminus	0.351957	71.186441	1	3
0	0	85	CSplus	0.437727	71.186441	1	1
0	0	86	CSplus	0.392447	71.186441	1	2
0	0	87	CSplus	0.363925	71.186441	1	3
0	0	88	CSminus	0.446636	71.186441	1	1
0	0	89	CSminus	0.449805	71.186441	1	2
0	0	90	CSminus	0.355139	71.186441	1	3
0	0	91	CSplus	0.360844	71.186441	1	1
0	0	92	CSplus	0.390287	71.186441	1	2
0	0	93	CSplus	0.365215	71.186441	1	3
0	0	94	CSminus	0.410016	71.186441	1	1
0	0	95	CSminus	0.376183	71.186441	1	2
0	0	96	CSminus	0.519876	71.186441	1	3
0	0	97	CSplus	0.307686	71.186441	1	1
0	0	98	CSplus	0.367440	71.186441	1	2
0	0	99	CSplus	0.338039	71.186441	1	3
0	0	100	CSminus	0.397566	71.186441	1	1
0	0	101	CSminus	0.481316	71.186441	1	2
0	0	102	CSminus	0.316663	71.186441	1	3
0	0	103	CSplus	0.353710	71.186441	1	1
0	0	104	CSplus	0.549340	71.186441	1	2
0	0	105	CSplus	0.340250	71.186441	1	3
0	0	106	CSminus	0.297758	71.186441	1	1
0	0	107	CSminus	0.435769	71.186441	1	2
0	0	108	CSminus	0.418532	71.186441	1	3
0	0	109	Baseline	NaN	73.728814	NaN	NaN
