onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.000660	17.732113	trialstart	1	None	6	2	Reminder
17.732435	2.299375	ITI	1	None	6	2	Reminder
20.035616	17.323464	trialstart	2	None	9	2	Reminder
37.359048	3.206962	ITI	2	None	9	2	Reminder
40.570833	15.015324	trialstart	3	None	11	1	Reminder
55.586114	4.515041	ITI	3	None	11	1	Reminder
60.106072	14.473615	trialstart	1	None	12	1	Partial_Extinction
74.579667	5.056718	ITI	1	None	12	1	Partial_Extinction
79.639742	14.949781	trialstart	2	None	14	1	Partial_Extinction
94.589487	5.580507	ITI	2	None	14	1	Partial_Extinction
100.175304	14.640645	trialstart	3	None	15	1	Partial_Extinction
114.815904	5.389654	ITI	3	None	15	1	Partial_Extinction
120.210458	14.465444	trialstart	4	None	17	1	Partial_Extinction
134.675856	6.064856	ITI	4	None	17	1	Partial_Extinction
140.745815	14.689632	trialstart	5	None	12	1	Partial_Extinction
155.435402	4.840674	ITI	5	None	12	1	Partial_Extinction
160.281864	14.863528	trialstart	6	None	14	1	Partial_Extinction
175.145346	5.166779	ITI	6	None	14	1	Partial_Extinction
180.317828	11.994306	trialstart	1	Baseline	17	0	PIT
192.356110	7.505694	ITI	1	Baseline	17	0	PIT
199.861904	11.993244	trialstart	2	Baseline	11	0	PIT
211.899373	8.506756	ITI	2	Baseline	11	0	PIT
220.406210	11.993373	trialstart	3	Baseline	5	0	PIT
232.442458	8.006627	ITI	3	Baseline	5	0	PIT
240.453393	11.988516	trialstart	4	CSminus	9	0	PIT
252.485492	7.511484	ITI	4	CSminus	9	0	PIT
259.997057	11.987852	trialstart	5	CSminus	7	0	PIT
272.028886	8.512148	ITI	5	CSminus	7	0	PIT
280.541112	11.988084	trialstart	6	CSminus	6	0	PIT
292.571850	8.011916	ITI	6	CSminus	6	0	PIT
300.588348	11.999645	trialstart	7	CSplus	14	0	PIT
312.631690	7.500355	ITI	7	CSplus	14	0	PIT
320.132171	11.998958	trialstart	8	CSplus	7	0	PIT
332.174958	8.501042	ITI	8	CSplus	7	0	PIT
340.676079	11.999358	trialstart	9	CSplus	6	0	PIT
352.717989	8.000642	ITI	9	CSplus	6	0	PIT
360.727776	11.990716	trialstart	10	CSminus	0	0	PIT
372.761161	8.009284	ITI	10	CSminus	0	0	PIT
380.770524	11.991408	trialstart	11	CSminus	5	0	PIT
392.804251	8.508592	ITI	11	CSminus	5	0	PIT
401.312925	11.990828	trialstart	12	CSminus	4	0	PIT
413.347253	7.509172	ITI	12	CSminus	4	0	PIT
420.864218	12.000259	trialstart	13	CSplus	15	0	PIT
432.907233	7.999741	ITI	13	CSplus	15	0	PIT
440.907052	12.000969	trialstart	14	CSplus	11	0	PIT
452.950440	8.499031	ITI	14	CSplus	11	0	PIT
461.449551	12.000578	trialstart	15	CSplus	12	0	PIT
473.493359	7.499422	ITI	15	CSplus	12	0	PIT
481.000538	11.992741	trialstart	16	Baseline	12	0	PIT
493.036688	8.007259	ITI	16	Baseline	12	0	PIT
501.044027	11.991945	trialstart	17	Baseline	5	0	PIT
513.079905	8.508055	ITI	17	Baseline	5	0	PIT
521.588041	11.992413	trialstart	18	Baseline	6	0	PIT
533.622862	7.507587	ITI	18	Baseline	6	0	PIT
541.146183	11.994114	trialstart	19	CSplus	16	0	PIT
553.182922	7.505886	ITI	19	CSplus	16	0	PIT
560.688889	11.994186	trialstart	20	CSplus	14	0	PIT
572.726151	8.505814	ITI	20	CSplus	14	0	PIT
581.232049	11.994266	trialstart	21	CSplus	8	0	PIT
593.269145	8.005734	ITI	21	CSplus	8	0	PIT
601.282644	11.987316	trialstart	22	CSminus	12	0	PIT
613.312282	7.512684	ITI	22	CSminus	12	0	PIT
620.825043	11.987782	trialstart	23	CSminus	4	0	PIT
632.855699	8.512218	ITI	23	CSminus	4	0	PIT
641.367996	11.986958	trialstart	24	CSminus	12	0	PIT
653.398625	8.013042	ITI	24	CSminus	12	0	PIT
661.419416	11.995672	trialstart	25	Baseline	5	0	PIT
673.458436	7.504328	ITI	25	Baseline	5	0	PIT
680.962846	11.996262	trialstart	26	Baseline	5	0	PIT
693.001716	8.503738	ITI	26	Baseline	5	0	PIT
701.505530	11.995816	trialstart	27	Baseline	13	0	PIT
713.544778	8.004184	ITI	27	Baseline	13	0	PIT
721.565654	11.996431	trialstart	28	CSminus	0	0	PIT
733.604546	8.503569	ITI	28	CSminus	0	0	PIT
742.108193	11.996030	trialstart	29	CSminus	5	0	PIT
754.147571	7.503970	ITI	29	CSminus	5	0	PIT
761.651624	11.995463	trialstart	30	CSminus	11	0	PIT
773.690891	8.004537	ITI	30	CSminus	11	0	PIT
781.703168	11.987504	trialstart	31	Baseline	6	0	PIT
793.734033	8.512496	ITI	31	Baseline	6	0	PIT
802.246610	11.987305	trialstart	32	Baseline	0	0	PIT
814.276993	7.512695	ITI	32	Baseline	0	0	PIT
821.789773	11.987315	trialstart	33	Baseline	8	0	PIT
833.820311	8.012685	ITI	33	Baseline	8	0	PIT
841.840727	11.995741	trialstart	34	CSplus	13	0	PIT
853.880173	8.504259	ITI	34	CSplus	13	0	PIT
862.384513	11.996227	trialstart	35	CSplus	12	0	PIT
874.423120	7.503773	ITI	35	CSplus	12	0	PIT
881.926974	11.996648	trialstart	36	CSplus	10	0	PIT
893.966470	8.003352	ITI	36	CSplus	10	0	PIT
901.988069	11.994276	trialstart	37	CSplus	5	0	PIT
914.026271	8.005724	ITI	37	CSplus	5	0	PIT
922.032071	11.993756	trialstart	38	CSplus	6	0	PIT
934.069388	8.506244	ITI	38	CSplus	6	0	PIT
942.575711	11.994169	trialstart	39	CSplus	16	0	PIT
954.612448	7.505831	ITI	39	CSplus	16	0	PIT
962.126097	11.986324	trialstart	40	CSminus	1	0	PIT
974.155690	8.013676	ITI	40	CSminus	1	0	PIT
982.169446	12.003245	trialstart	41	CSminus	12	0	PIT
994.215556	8.496755	ITI	41	CSminus	12	0	PIT
1002.712389	12.002359	trialstart	42	CSminus	5	0	PIT
1014.758496	7.497641	ITI	42	CSminus	5	0	PIT
1022.263707	11.995407	trialstart	43	Baseline	1	0	PIT
1034.301883	8.004593	ITI	43	Baseline	1	0	PIT
1042.306554	11.995927	trialstart	44	Baseline	12	0	PIT
1054.345034	8.504073	ITI	44	Baseline	12	0	PIT
1062.849188	11.995080	trialstart	45	Baseline	5	0	PIT
1074.888061	7.504920	ITI	45	Baseline	5	0	PIT
