onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.005830	2.423590	trialstart	1	neutral	33.898305	82.203390
8.259265	4.874781	liking	1	neutral	33.898305	82.203390
13.632568	2.383254	intensity	1	neutral	33.898305	82.203390
16.015822	3.881898	ITI	1	neutral	33.898305	82.203390
20.012330	2.428961	trialstart	2	neutral	44.915254	16.949153
26.473806	3.616249	liking	2	neutral	44.915254	16.949153
30.590004	4.418191	intensity	2	neutral	44.915254	16.949153
35.008195	2.902990	ITI	2	neutral	44.915254	16.949153
38.016810	2.428859	trialstart	3	neutral	43.220339	16.949153
44.264321	3.116180	liking	3	neutral	43.220339	16.949153
47.880447	3.185731	intensity	3	neutral	43.220339	16.949153
51.066179	4.849386	ITI	3	neutral	43.220339	16.949153
56.021221	2.428199	trialstart	4	chocolate	80.508475	74.576271
62.270838	3.768172	liking	4	chocolate	80.508475	74.576271
66.538961	4.818670	intensity	4	chocolate	80.508475	74.576271
71.357630	2.561681	ITI	4	chocolate	80.508475	74.576271
74.026230	2.428842	trialstart	5	chocolate	76.271186	38.983051
80.278870	1.401620	liking	5	chocolate	76.271186	38.983051
82.180441	2.461899	intensity	5	chocolate	76.271186	38.983051
84.642339	7.282622	ITI	5	chocolate	76.271186	38.983051
92.030760	2.428825	trialstart	6	chocolate	63.559322	16.949153
98.486610	3.846399	liking	6	chocolate	63.559322	16.949153
102.832955	3.551106	intensity	6	chocolate	63.559322	16.949153
106.384061	3.545416	ITI	6	chocolate	63.559322	16.949153
110.035231	2.428939	trialstart	7	empty	50.000000	14.406780
116.294620	4.515930	liking	7	empty	50.000000	14.406780
121.310489	3.900014	intensity	7	empty	50.000000	14.406780
125.210504	2.723524	ITI	7	empty	50.000000	14.406780
128.039808	2.428750	trialstart	8	empty	50.000000	16.949153
134.303040	2.594905	liking	8	empty	50.000000	16.949153
137.397892	6.548928	intensity	8	empty	50.000000	16.949153
143.946820	1.991583	ITI	8	empty	50.000000	16.949153
146.044946	2.428781	trialstart	9	empty	50.000000	12.711864
152.309850	2.759093	liking	9	empty	50.000000	12.711864
155.568890	1.336337	intensity	9	empty	50.000000	12.711864
156.905227	7.038391	ITI	9	empty	50.000000	12.711864
164.049505	2.429023	trialstart	10	chocolate	55.932203	18.644068
170.297261	1.618568	liking	10	chocolate	55.932203	18.644068
172.415777	2.080122	intensity	10	chocolate	55.932203	18.644068
174.495899	7.452528	ITI	10	chocolate	55.932203	18.644068
182.054235	2.428866	trialstart	11	chocolate	62.711864	18.644068
188.504618	1.954465	liking	11	chocolate	62.711864	18.644068
190.959029	1.688644	intensity	11	chocolate	62.711864	18.644068
