onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016389	1.414104	trialstart	1	empty	50.000000	27.118644
5.512404	4.638639	liking	1	empty	50.000000	27.118644
5.512404	4.461771	intensity	1	empty	50.000000	27.118644
17.080760	2.819495	ITI	1	empty	50.000000	27.118644
20.286613	1.431608	trialstart	2	empty	50.000000	33.898305
23.823393	1.477541	liking	2	empty	50.000000	33.898305
23.823393	5.474491	intensity	2	empty	50.000000	33.898305
33.526665	4.661289	ITI	2	empty	50.000000	33.898305
38.292330	1.423617	trialstart	3	empty	50.000000	33.898305
41.808270	1.154898	liking	3	empty	50.000000	33.898305
41.808270	3.610616	intensity	3	empty	50.000000	33.898305
49.518499	6.667187	ITI	3	empty	50.000000	33.898305
56.298042	1.421574	trialstart	4	neutral	59.322034	38.135593
59.813418	4.444843	liking	4	neutral	59.322034	38.135593
59.813418	1.748175	intensity	4	neutral	59.322034	38.135593
68.749044	5.440279	ITI	4	neutral	59.322034	38.135593
74.303794	1.424817	trialstart	5	neutral	57.627119	38.983051
77.820899	3.535603	liking	5	neutral	57.627119	38.983051
77.820899	1.755074	intensity	5	neutral	57.627119	38.983051
86.055379	6.142938	ITI	5	neutral	57.627119	38.983051
92.309566	1.420745	trialstart	6	neutral	57.627119	39.830508
95.824736	2.192739	liking	6	neutral	57.627119	39.830508
95.824736	1.388408	intensity	6	neutral	57.627119	39.830508
102.147788	8.052236	ITI	6	neutral	57.627119	39.830508
110.315461	1.418944	trialstart	7	neutral	41.525424	60.169492
113.819691	3.436054	liking	7	neutral	41.525424	60.169492
113.819691	2.772198	intensity	7	neutral	41.525424	60.169492
122.969137	5.235005	ITI	7	neutral	41.525424	60.169492
128.321460	1.410614	trialstart	8	neutral	36.440678	61.016949
131.839134	6.578595	liking	8	neutral	36.440678	61.016949
131.839134	2.807661	intensity	8	neutral	36.440678	61.016949
144.159850	2.041955	ITI	8	neutral	36.440678	61.016949
146.327343	1.420276	trialstart	9	neutral	18.644068	69.491525
149.836331	2.685180	liking	9	neutral	18.644068	69.491525
149.836331	2.091424	intensity	9	neutral	18.644068	69.491525
157.553048	6.664291	ITI	9	neutral	18.644068	69.491525
164.333326	1.416066	trialstart	10	neutral	55.932203	59.322034
167.846552	4.218493	liking	10	neutral	55.932203	59.322034
167.846552	2.140677	intensity	10	neutral	55.932203	59.322034
177.141339	5.077742	ITI	10	neutral	55.932203	59.322034
182.339384	1.427086	trialstart	11	neutral	61.016949	63.559322
185.858350	2.183258	liking	11	neutral	61.016949	63.559322
185.858350	1.451030	intensity	11	neutral	61.016949	63.559322
192.440175	7.796001	ITI	11	neutral	61.016949	63.559322
200.345439	1.416661	trialstart	12	neutral	62.711864	66.949153
203.849870	1.509046	liking	12	neutral	62.711864	66.949153
203.849870	1.412295	intensity	12	neutral	62.711864	66.949153
209.708829	8.522970	ITI	12	neutral	62.711864	66.949153
218.351409	1.363708	trialstart	13	neutral	64.406780	43.220339
221.851165	2.705018	liking	13	neutral	64.406780	43.220339
221.851165	0.980242	intensity	13	neutral	64.406780	43.220339
228.224916	7.959924	ITI	13	neutral	64.406780	43.220339
236.357565	1.390305	trialstart	14	neutral	65.254237	44.067797
239.867019	1.852639	liking	14	neutral	65.254237	44.067797
239.867019	2.612839	intensity	14	neutral	65.254237	44.067797
247.042570	7.175022	ITI	14	neutral	65.254237	44.067797
254.363585	1.412874	trialstart	15	neutral	61.864407	45.762712
257.877075	1.937078	liking	15	neutral	61.864407	45.762712
257.877075	1.011180	intensity	15	neutral	61.864407	45.762712
263.560267	8.685911	ITI	15	neutral	61.864407	45.762712
272.369633	1.430245	trialstart	16	neutral	31.355932	73.728814
275.895257	3.519482	liking	16	neutral	31.355932	73.728814
275.895257	2.349224	intensity	16	neutral	31.355932	73.728814
284.514674	5.754919	ITI	16	neutral	31.355932	73.728814
290.375691	1.408208	trialstart	17	neutral	21.186441	83.050847
293.877557	4.431330	liking	17	neutral	21.186441	83.050847
293.877557	2.149179	intensity	17	neutral	21.186441	83.050847
303.387794	4.865810	ITI	17	neutral	21.186441	83.050847
308.381788	1.417498	trialstart	18	neutral	17.796610	77.966102
311.885309	3.441912	liking	18	neutral	17.796610	77.966102
