onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.532664	17.126273	trialstart	1	6	2	
17.658926	2.904584	ITI	1	6	2	
20.568256	17.316780	trialstart	2	12	2	
37.885016	2.713925	ITI	2	12	2	
40.604173	17.656952	trialstart	3	13	2	
58.261103	2.873765	ITI	3	13	2	
61.140301	16.813810	trialstart	4	13	2	
77.954088	3.216925	ITI	4	13	2	
81.176617	16.820373	trialstart	5	13	2	
97.996967	2.710354	ITI	5	13	2	
100.713057	16.860296	trialstart	6	15	2	
117.573329	2.670422	ITI	6	15	2	
120.249825	16.616672	trialstart	7	13	2	
136.866473	3.914052	ITI	7	13	2	
140.786740	16.739064	trialstart	8	14	2	
157.525780	2.791673	ITI	8	14	2	
160.323780	17.794779	trialstart	9	13	2	
178.118536	2.235960	ITI	9	13	2	
180.361117	16.717315	trialstart	10	12	2	
197.078405	3.813400	ITI	10	12	2	
200.898505	16.922511	trialstart	11	14	2	
217.820993	3.608205	ITI	11	14	2	
221.436068	16.711039	trialstart	12	13	2	
238.147084	2.819668	ITI	12	13	2	
240.973750	17.399486	trialstart	13	13	2	
258.373211	3.131238	ITI	13	13	2	
261.511586	17.004490	trialstart	14	13	2	
278.516051	2.526253	ITI	14	13	2	
281.049678	16.659582	trialstart	15	14	2	
297.709235	3.871143	ITI	15	14	2	
301.587970	16.897222	trialstart	16	12	2	
318.485167	3.133539	ITI	16	12	2	
321.626369	16.601797	trialstart	17	10	2	
338.228141	2.928936	ITI	17	10	2	
341.164973	17.022752	trialstart	18	13	2	
358.187700	3.507976	ITI	18	13	2	
361.703700	17.010117	trialstart	19	13	2	
378.713792	3.020614	ITI	19	13	2	
381.742574	16.830773	trialstart	20	14	2	
398.573323	3.699952	ITI	20	14	2	
402.281612	16.767790	trialstart	21	15	2	
419.049377	2.762933	ITI	21	15	2	
421.820772	16.938276	trialstart	22	12	2	
438.759024	2.592452	ITI	22	12	2	
441.360195	16.608743	trialstart	23	13	2	
457.968915	3.421988	ITI	23	13	2	
461.399727	16.662011	trialstart	24	11	2	
478.061716	3.368732	ITI	24	11	2	
