onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.393321	66.101695	1	1
0	0	2	CSplus	0.379049	66.101695	1	2
0	0	3	CSplus	0.419682	66.101695	1	3
0	0	4	CSminus	0.582324	40.677966	1	1
0	0	5	CSminus	0.489883	40.677966	1	2
0	0	6	CSminus	0.382544	40.677966	1	3
0	0	7	CSplus	0.363350	66.101695	1	1
0	0	8	CSplus	0.418408	66.101695	1	2
0	0	9	CSplus	0.318936	66.101695	1	3
0	0	10	CSminus	0.592086	40.677966	1	1
0	0	11	CSminus	0.427807	40.677966	1	2
0	0	12	CSminus	0.296608	40.677966	1	3
0	0	13	CSplus	0.158308	66.101695	1	1
0	0	14	CSplus	0.331202	66.101695	1	2
0	0	15	CSplus	0.567995	66.101695	1	3
0	0	16	CSminus	0.421377	40.677966	1	1
0	0	17	CSminus	0.459824	40.677966	1	2
0	0	18	CSminus	0.470285	40.677966	1	3
0	0	19	CSplus	0.410076	66.101695	1	1
0	0	20	CSplus	0.456398	66.101695	1	2
0	0	21	CSplus	0.428587	66.101695	1	3
0	0	22	CSminus	0.383214	40.677966	1	1
0	0	23	CSminus	0.592238	40.677966	1	2
0	0	24	CSminus	0.464799	40.677966	1	3
0	0	25	CSplus	0.499423	66.101695	1	1
0	0	26	CSplus	0.386609	66.101695	1	2
0	0	27	CSplus	0.366157	66.101695	1	3
0	0	28	CSminus	0.394879	40.677966	1	1
0	0	29	CSminus	0.613239	40.677966	1	2
0	0	30	CSminus	0.668239	40.677966	1	3
0	0	31	CSplus	0.373089	66.101695	1	1
0	0	32	CSplus	0.550966	66.101695	1	2
0	0	33	CSplus	0.561080	66.101695	1	3
0	0	34	CSminus	0.370099	40.677966	1	1
0	0	35	CSminus	0.726592	40.677966	1	2
0	0	36	CSminus	0.464849	40.677966	1	3
0	0	37	CSplus	0.671865	66.101695	1	1
0	0	38	CSplus	0.703410	66.101695	1	2
0	0	39	CSplus	0.603362	66.101695	1	3
0	0	40	CSminus	0.370351	40.677966	1	1
0	0	41	CSminus	0.366327	40.677966	1	2
0	0	42	CSminus	0.389400	40.677966	1	3
0	0	43	CSplus	0.437826	66.101695	1	1
0	0	44	CSplus	0.617716	66.101695	1	2
0	0	45	CSplus	0.337936	66.101695	1	3
0	0	46	CSminus	0.452116	40.677966	1	1
0	0	47	CSminus	0.460223	40.677966	1	2
0	0	48	CSminus	1.000000	40.677966	0	3
0	0	49	CSplus	0.432363	66.101695	1	1
0	0	50	CSplus	0.322268	66.101695	1	2
0	0	51	CSplus	0.369430	66.101695	1	3
0	0	52	CSminus	0.876186	40.677966	1	1
0	0	53	CSminus	0.349040	40.677966	1	2
0	0	54	CSminus	0.443139	40.677966	1	3
0	0	55	CSplus	0.327880	66.101695	1	1
0	0	56	CSplus	0.424991	66.101695	1	2
0	0	57	CSplus	0.528262	66.101695	1	3
0	0	58	CSminus	0.296384	40.677966	1	1
0	0	59	CSminus	0.436366	40.677966	1	2
0	0	60	CSminus	0.353250	40.677966	1	3
0	0	61	CSplus	0.394524	66.101695	1	1
0	0	62	CSplus	0.375874	66.101695	1	2
0	0	63	CSplus	0.377815	66.101695	1	3
0	0	64	CSminus	0.855409	40.677966	1	1
0	0	65	CSminus	0.347149	40.677966	1	2
0	0	66	CSminus	0.329169	40.677966	1	3
0	0	67	CSplus	0.549859	66.101695	1	1
0	0	68	CSplus	0.319293	66.101695	1	2
0	0	69	CSplus	0.357918	66.101695	1	3
0	0	70	CSminus	0.344123	40.677966	1	1
0	0	71	CSminus	0.313757	40.677966	1	2
0	0	72	CSminus	0.336273	40.677966	1	3
0	0	73	CSplus	0.341533	66.101695	1	1
0	0	74	CSplus	0.306547	66.101695	1	2
0	0	75	CSplus	0.359755	66.101695	1	3
0	0	76	CSminus	0.334741	40.677966	1	1
0	0	77	CSminus	0.278407	40.677966	1	2
0	0	78	CSminus	0.289494	40.677966	1	3
0	0	79	CSplus	0.424287	66.101695	1	1
0	0	80	CSplus	0.353944	66.101695	1	2
0	0	81	CSplus	0.347267	66.101695	1	3
0	0	82	CSminus	0.291889	40.677966	1	1
0	0	83	CSminus	0.339505	40.677966	1	2
0	0	84	CSminus	0.282803	40.677966	1	3
0	0	85	CSplus	0.313335	66.101695	1	1
0	0	86	CSplus	0.340609	66.101695	1	2
0	0	87	CSplus	0.285500	66.101695	1	3
0	0	88	CSminus	0.361273	40.677966	1	1
0	0	89	CSminus	0.382592	40.677966	1	2
0	0	90	CSminus	0.437134	40.677966	1	3
0	0	91	CSplus	0.315145	66.101695	1	1
0	0	92	CSplus	0.358405	66.101695	1	2
0	0	93	CSplus	0.422565	66.101695	1	3
0	0	94	CSminus	0.316326	40.677966	1	1
0	0	95	CSminus	0.309282	40.677966	1	2
0	0	96	CSminus	0.471501	40.677966	1	3
0	0	97	CSplus	0.297314	66.101695	1	1
0	0	98	CSplus	0.313699	66.101695	1	2
0	0	99	CSplus	0.409076	66.101695	1	3
0	0	100	CSminus	0.541598	40.677966	1	1
0	0	101	CSminus	0.352426	40.677966	1	2
0	0	102	CSminus	0.342268	40.677966	1	3
0	0	103	CSplus	0.348001	66.101695	1	1
0	0	104	CSplus	0.306735	66.101695	1	2
0	0	105	CSplus	0.392165	66.101695	1	3
0	0	106	CSminus	0.510025	40.677966	1	1
0	0	107	CSminus	0.486126	40.677966	1	2
0	0	108	CSminus	0.368446	40.677966	1	3
0	0	109	Baseline	NaN	42.372881	NaN	NaN
