onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.370383	57.627119	1	1
0	0	2	CSplus	0.521625	57.627119	1	2
0	0	3	CSplus	0.351838	57.627119	1	3
0	0	4	CSminus	0.518522	66.101695	1	1
0	0	5	CSminus	0.564955	66.101695	1	2
0	0	6	CSminus	0.499445	66.101695	1	3
0	0	7	CSplus	0.581294	57.627119	1	1
0	0	8	CSplus	0.338703	57.627119	1	2
0	0	9	CSplus	0.502149	57.627119	1	3
0	0	10	CSminus	0.310342	66.101695	1	1
0	0	11	CSminus	0.273678	66.101695	1	2
0	0	12	CSminus	0.428698	66.101695	1	3
0	0	13	CSplus	0.455942	57.627119	1	1
0	0	14	CSplus	0.329854	57.627119	1	2
0	0	15	CSplus	0.278725	57.627119	1	3
0	0	16	CSminus	0.338003	66.101695	1	1
0	0	17	CSminus	0.317131	66.101695	1	2
0	0	18	CSminus	0.419570	66.101695	1	3
0	0	19	CSplus	0.399849	57.627119	1	1
0	0	20	CSplus	0.347346	57.627119	1	2
0	0	21	CSplus	0.335478	57.627119	1	3
0	0	22	CSminus	0.425089	66.101695	1	1
0	0	23	CSminus	0.395340	66.101695	1	2
0	0	24	CSminus	0.452178	66.101695	1	3
0	0	25	CSplus	0.470286	57.627119	1	1
0	0	26	CSplus	0.482931	57.627119	1	2
0	0	27	CSplus	0.454223	57.627119	1	3
0	0	28	CSminus	0.368158	66.101695	1	1
0	0	29	CSminus	0.369420	66.101695	1	2
0	0	30	CSminus	0.307020	66.101695	1	3
0	0	31	CSplus	0.449377	57.627119	1	1
0	0	32	CSplus	0.372291	57.627119	1	2
0	0	33	CSplus	0.455832	57.627119	1	3
0	0	34	CSminus	0.567727	66.101695	1	1
0	0	35	CSminus	0.339032	66.101695	1	2
0	0	36	CSminus	0.466079	66.101695	1	3
0	0	37	CSplus	0.473181	57.627119	1	1
0	0	38	CSplus	0.470895	57.627119	1	2
0	0	39	CSplus	0.359980	57.627119	1	3
0	0	40	CSminus	0.511995	66.101695	1	1
0	0	41	CSminus	0.359421	66.101695	1	2
0	0	42	CSminus	0.414831	66.101695	1	3
0	0	43	CSplus	0.415871	57.627119	1	1
0	0	44	CSplus	0.422069	57.627119	1	2
0	0	45	CSplus	0.280926	57.627119	1	3
0	0	46	CSminus	0.368565	66.101695	1	1
0	0	47	CSminus	0.367475	66.101695	1	2
0	0	48	CSminus	0.316079	66.101695	1	3
0	0	49	CSplus	0.288620	57.627119	1	1
0	0	50	CSplus	0.357224	57.627119	1	2
0	0	51	CSplus	0.363152	57.627119	1	3
0	0	52	CSminus	0.441748	66.101695	1	1
0	0	53	CSminus	0.371316	66.101695	1	2
0	0	54	CSminus	0.341508	66.101695	1	3
0	0	55	CSplus	0.462944	57.627119	1	1
0	0	56	CSplus	0.373179	57.627119	1	2
0	0	57	CSplus	0.389180	57.627119	1	3
0	0	58	CSminus	0.398948	66.101695	1	1
0	0	59	CSminus	0.313831	66.101695	1	2
0	0	60	CSminus	0.338406	66.101695	1	3
0	0	61	CSplus	0.467034	57.627119	1	1
0	0	62	CSplus	0.293688	57.627119	1	2
0	0	63	CSplus	0.283250	57.627119	1	3
0	0	64	CSminus	0.482132	66.101695	1	1
0	0	65	CSminus	0.425882	66.101695	1	2
0	0	66	CSminus	0.429339	66.101695	1	3
0	0	67	CSplus	0.349492	57.627119	1	1
0	0	68	CSplus	0.460396	57.627119	1	2
0	0	69	CSplus	0.460088	57.627119	1	3
0	0	70	CSminus	0.345579	66.101695	1	1
0	0	71	CSminus	0.439275	66.101695	1	2
0	0	72	CSminus	0.376824	66.101695	1	3
0	0	73	CSplus	0.319186	57.627119	1	1
0	0	74	CSplus	0.286358	57.627119	1	2
0	0	75	CSplus	0.162854	57.627119	1	3
0	0	76	CSminus	0.464556	66.101695	1	1
0	0	77	CSminus	0.406757	66.101695	1	2
0	0	78	CSminus	0.322563	66.101695	1	3
0	0	79	CSplus	0.357560	57.627119	1	1
0	0	80	CSplus	0.343470	57.627119	1	2
0	0	81	CSplus	0.471148	57.627119	1	3
0	0	82	CSminus	0.638113	66.101695	1	1
0	0	83	CSminus	0.358214	66.101695	1	2
0	0	84	CSminus	0.469824	66.101695	1	3
0	0	85	CSplus	0.546778	57.627119	1	1
0	0	86	CSplus	0.417102	57.627119	1	2
0	0	87	CSplus	0.490757	57.627119	1	3
0	0	88	CSminus	0.546928	66.101695	1	1
0	0	89	CSminus	0.396258	66.101695	1	2
0	0	90	CSminus	0.403115	66.101695	1	3
0	0	91	CSplus	0.392162	57.627119	1	1
0	0	92	CSplus	0.498118	57.627119	1	2
0	0	93	CSplus	0.526484	57.627119	1	3
0	0	94	CSminus	0.376257	66.101695	1	1
0	0	95	CSminus	0.465707	66.101695	1	2
0	0	96	CSminus	0.516205	66.101695	1	3
0	0	97	CSplus	0.505654	57.627119	1	1
0	0	98	CSplus	0.420081	57.627119	1	2
0	0	99	CSplus	0.393941	57.627119	1	3
0	0	100	CSminus	0.495674	66.101695	1	1
0	0	101	CSminus	0.488431	66.101695	1	2
0	0	102	CSminus	0.462110	66.101695	1	3
0	0	103	CSplus	0.382347	57.627119	1	1
0	0	104	CSplus	0.417426	57.627119	1	2
0	0	105	CSplus	0.493413	57.627119	1	3
0	0	106	CSminus	0.466017	66.101695	1	1
0	0	107	CSminus	0.442256	66.101695	1	2
0	0	108	CSminus	0.422492	66.101695	1	3
0	0	109	Baseline	NaN	50.000000	NaN	NaN
