onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.011205	16.888004	trialstart	1	None	4	2	Reminder
16.896813	2.666264	ITI	1	None	4	2	Reminder
19.568248	15.121679	trialstart	2	None	9	1	Reminder
34.689898	4.908672	ITI	2	None	9	1	Reminder
39.603608	17.312096	trialstart	3	None	7	2	Reminder
56.915663	3.218270	ITI	3	None	7	2	Reminder
60.143121	14.352504	trialstart	1	None	11	1	Partial_Extinction
74.493869	5.187305	ITI	1	None	11	1	Partial_Extinction
79.685266	14.667789	trialstart	2	None	10	1	Partial_Extinction
94.353014	5.362489	ITI	2	None	10	1	Partial_Extinction
99.720892	14.742056	trialstart	3	None	6	1	Partial_Extinction
114.462905	5.788231	ITI	3	None	6	1	Partial_Extinction
120.255839	14.383562	trialstart	4	None	8	1	Partial_Extinction
134.639357	5.646727	ITI	4	None	8	1	Partial_Extinction
140.290921	14.824933	trialstart	5	None	4	1	Partial_Extinction
155.115818	4.705347	ITI	5	None	4	1	Partial_Extinction
159.826629	14.482685	trialstart	6	None	12	1	Partial_Extinction
174.309269	6.047559	ITI	6	None	12	1	Partial_Extinction
180.365541	12.024757	trialstart	1	CSminus	5	0	PIT
192.436960	7.975243	ITI	1	CSminus	5	0	PIT
200.412425	12.024321	trialstart	2	CSminus	4	0	PIT
212.479772	7.475679	ITI	2	CSminus	4	0	PIT
219.955528	12.008179	trialstart	3	CSminus	5	0	PIT
232.006467	8.491821	ITI	3	CSminus	5	0	PIT
240.502974	12.018752	trialstart	4	Baseline	6	0	PIT
252.566149	7.981248	ITI	4	Baseline	6	0	PIT
260.547480	12.019417	trialstart	5	Baseline	4	0	PIT
272.609396	7.480583	ITI	5	Baseline	4	0	PIT
280.090058	12.019867	trialstart	6	Baseline	4	0	PIT
292.152725	8.480133	ITI	6	Baseline	4	0	PIT
300.637680	12.030315	trialstart	7	CSplus	5	0	PIT
312.712557	7.969685	ITI	7	CSplus	5	0	PIT
320.682320	12.030723	trialstart	8	CSplus	5	0	PIT
332.755683	7.469277	ITI	8	CSplus	5	0	PIT
340.225056	12.031118	trialstart	9	CSplus	4	0	PIT
352.299101	8.468882	ITI	9	CSplus	4	0	PIT
360.778480	12.021766	trialstart	10	Baseline	7	0	PIT
372.842159	7.478234	ITI	10	Baseline	7	0	PIT
380.320467	12.022767	trialstart	11	Baseline	4	0	PIT
392.385480	8.477233	ITI	11	Baseline	4	0	PIT
400.862790	12.022147	trialstart	12	Baseline	4	0	PIT
412.928546	7.977853	ITI	12	Baseline	4	0	PIT
420.913582	12.032793	trialstart	13	CSplus	4	0	PIT
432.988417	7.467207	ITI	13	CSplus	4	0	PIT
440.455724	12.000455	trialstart	14	CSplus	2	0	PIT
452.498480	8.499545	ITI	14	CSplus	2	0	PIT
460.998099	12.033200	trialstart	15	CSplus	4	0	PIT
473.074909	7.966800	ITI	15	CSplus	4	0	PIT
481.048822	12.026112	trialstart	16	CSminus	3	0	PIT
493.118092	7.473888	ITI	16	CSminus	3	0	PIT
500.592060	12.027054	trialstart	17	CSminus	3	0	PIT
512.661518	8.472946	ITI	17	CSminus	3	0	PIT
521.134543	12.026604	trialstart	18	CSminus	4	0	PIT
