onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016380	1.388719	trialstart	1	neutral	50.000000	39.830508
5.519226	2.658728	liking	1	neutral	50.000000	39.830508
5.519226	4.733033	intensity	1	neutral	50.000000	39.830508
15.616077	4.258753	ITI	1	neutral	50.000000	39.830508
20.227049	1.421988	trialstart	2	neutral	57.627119	40.677966
23.729169	4.039274	liking	2	neutral	57.627119	40.677966
23.729169	2.036768	intensity	2	neutral	57.627119	40.677966
32.547059	5.571716	ITI	2	neutral	57.627119	40.677966
38.232762	1.416618	trialstart	3	neutral	50.000000	59.322034
41.743777	3.323579	liking	3	neutral	50.000000	59.322034
41.743777	2.068487	intensity	3	neutral	50.000000	59.322034
49.877077	6.242020	ITI	3	neutral	50.000000	59.322034
56.238456	1.419723	trialstart	4	neutral	43.220339	43.220339
59.749908	5.482633	liking	4	neutral	43.220339	43.220339
59.749908	1.611149	intensity	4	neutral	43.220339	43.220339
69.782802	4.345103	ITI	4	neutral	43.220339	43.220339
74.244279	1.416328	trialstart	5	neutral	50.000000	33.898305
77.751658	5.375557	liking	5	neutral	50.000000	33.898305
77.751658	2.203609	intensity	5	neutral	50.000000	33.898305
88.067130	4.063186	ITI	5	neutral	50.000000	33.898305
92.250017	1.429665	trialstart	6	neutral	50.000000	33.050847
95.760349	4.102413	liking	6	neutral	50.000000	33.050847
95.760349	1.506783	intensity	6	neutral	50.000000	33.050847
104.119930	6.029475	ITI	6	neutral	50.000000	33.050847
110.255916	1.418479	trialstart	7	neutral	50.000000	70.338983
113.768966	1.438889	liking	7	neutral	50.000000	70.338983
113.768966	5.059493	intensity	7	neutral	50.000000	70.338983
123.012811	5.131308	ITI	7	neutral	50.000000	70.338983
128.261771	1.432761	trialstart	8	neutral	39.830508	58.474576
131.762653	2.155276	liking	8	neutral	39.830508	58.474576
131.762653	1.196118	intensity	8	neutral	39.830508	58.474576
138.066584	8.097681	ITI	8	neutral	39.830508	58.474576
146.267660	1.430514	trialstart	9	neutral	50.000000	61.016949
149.782370	0.919160	liking	9	neutral	50.000000	61.016949
149.782370	1.074960	intensity	9	neutral	50.000000	61.016949
154.527508	9.640399	ITI	9	neutral	50.000000	61.016949
164.273558	1.412474	trialstart	10	chocolate	68.644068	50.000000
167.795461	2.857438	liking	10	chocolate	68.644068	50.000000
167.795461	2.013182	intensity	10	chocolate	68.644068	50.000000
175.398193	6.757545	ITI	10	chocolate	68.644068	50.000000
182.279452	1.424579	trialstart	11	chocolate	76.271186	50.000000
185.791405	3.629294	liking	11	chocolate	76.271186	50.000000
185.791405	0.844023	intensity	11	chocolate	76.271186	50.000000
193.009287	7.164464	ITI	11	chocolate	76.271186	50.000000
200.285982	1.417512	trialstart	12	chocolate	74.576271	50.000000
203.794036	4.560382	liking	12	chocolate	74.576271	50.000000
203.794036	2.973176	intensity	12	chocolate	74.576271	50.000000
214.066491	4.106726	ITI	12	chocolate	74.576271	50.000000
218.291965	1.404674	trialstart	13	empty	50.000000	17.796610
221.798982	2.760762	liking	13	empty	50.000000	17.796610
221.798982	3.564726	intensity	13	empty	50.000000	17.796610
231.053395	5.112945	ITI	13	empty	50.000000	17.796610
236.297966	1.422400	trialstart	14	empty	50.000000	19.491525
239.808637	2.107963	liking	14	empty	50.000000	19.491525
239.808637	2.554576	intensity	14	empty	50.000000	19.491525
247.213525	6.976560	ITI	14	empty	50.000000	19.491525
254.303992	1.257260	trialstart	15	empty	50.000000	12.711864
257.817185	0.911138	liking	15	empty	50.000000	12.711864
257.817185	2.588510	intensity	15	empty	50.000000	12.711864
264.105650	7.925322	ITI	15	empty	50.000000	12.711864
272.310024	1.268248	trialstart	16	neutral	60.169492	61.016949
275.816086	2.678254	liking	16	neutral	60.169492	61.016949
275.816086	1.187823	intensity	16	neutral	60.169492	61.016949
282.323296	7.724687	ITI	16	neutral	60.169492	61.016949
290.316027	1.418581	trialstart	17	neutral	50.000000	50.000000
293.820637	2.369317	liking	17	neutral	50.000000	50.000000
293.820637	2.195576	intensity	17	neutral	50.000000	50.000000
301.121106	7.083203	ITI	17	neutral	50.000000	50.000000
308.322079	1.417864	trialstart	18	neutral	48.305085	58.474576
311.835007	2.072256	liking	18	neutral	48.305085	58.474576
311.835007	1.026164	intensity	18	neutral	48.305085	58.474576
317.871414	8.338234	ITI	18	neutral	48.305085	58.474576
326.328166	1.428485	trialstart	19	neutral	41.525424	61.016949
329.836037	2.574975	liking	19	neutral	41.525424	61.016949
329.836037	1.725090	intensity	19	neutral	41.525424	61.016949
336.890952	7.335428	ITI	19	neutral	41.525424	61.016949
344.334352	1.407965	trialstart	20	neutral	50.000000	50.000000
347.843557	2.609355	liking	20	neutral	50.000000	50.000000
347.843557	0.915986	intensity	20	neutral	50.000000	50.000000
354.301049	7.910979	ITI	20	neutral	50.000000	50.000000
362.340561	1.413443	trialstart	21	neutral	50.000000	39.830508
365.860499	1.644496	liking	21	neutral	50.000000	39.830508
365.860499	1.477720	intensity	21	neutral	50.000000	39.830508
371.715545	8.508190	ITI	21	neutral	50.000000	39.830508
380.346755	1.428464	trialstart	22	neutral	29.661017	65.254237
383.847752	2.289726	liking	22	neutral	29.661017	65.254237
383.847752	1.732397	intensity	22	neutral	29.661017	65.254237
390.617628	7.627297	ITI	22	neutral	29.661017	65.254237
398.352974	1.400170	trialstart	23	neutral	30.508475	62.711864
401.862520	2.203424	liking	23	neutral	30.508475	62.711864
401.862520	1.148198	intensity	23	neutral	30.508475	62.711864
408.133049	8.089817	ITI	23	neutral	30.508475	62.711864
416.359247	1.423647	trialstart	24	neutral	39.830508	50.000000
419.858219	2.014047	liking	24	neutral	39.830508	50.000000
419.858219	1.116722	intensity	24	neutral	39.830508	50.000000
425.731821	8.520773	ITI	24	neutral	39.830508	50.000000
434.365525	1.423995	trialstart	25	neutral	50.000000	61.016949
437.875551	2.229829	liking	25	neutral	50.000000	61.016949
437.875551	1.770633	intensity	25	neutral	50.000000	61.016949
444.618724	7.640514	ITI	25	neutral	50.000000	61.016949
452.371865	1.408611	trialstart	26	neutral	50.000000	40.677966
455.872455	1.911991	liking	26	neutral	50.000000	40.677966
455.872455	1.043242	intensity	26	neutral	50.000000	40.677966
461.763107	8.487098	ITI	26	neutral	50.000000	40.677966
470.378195	1.424576	trialstart	27	neutral	50.000000	28.813559
473.882809	3.460780	liking	27	neutral	50.000000	28.813559
473.882809	1.618563	intensity	27	neutral	50.000000	28.813559
481.906507	6.365977	ITI	27	neutral	50.000000	28.813559
488.384592	1.414069	trialstart	28	neutral	65.254237	50.000000
491.888485	2.829858	liking	28	neutral	65.254237	50.000000
491.888485	1.683459	intensity	28	neutral	65.254237	50.000000
499.136488	7.131891	ITI	28	neutral	65.254237	50.000000
506.391009	1.434353	trialstart	29	neutral	61.016949	50.000000
509.901882	1.815467	liking	29	neutral	61.016949	50.000000
509.901882	1.075977	intensity	29	neutral	61.016949	50.000000
515.548339	8.746751	ITI	29	neutral	61.016949	50.000000
524.397522	1.423451	trialstart	30	neutral	61.016949	38.983051
527.904971	3.458641	liking	30	neutral	61.016949	38.983051
527.904971	1.436632	intensity	30	neutral	61.016949	38.983051
535.544929	6.745766	ITI	30	neutral	61.016949	38.983051
542.404107	1.417035	trialstart	31	neutral	50.000000	37.288136
545.909438	4.441030	liking	31	neutral	50.000000	37.288136
545.909438	1.308894	intensity	31	neutral	50.000000	37.288136
554.410402	5.880449	ITI	31	neutral	50.000000	37.288136
560.410738	1.330303	trialstart	32	neutral	58.474576	59.322034
563.914853	4.050036	liking	32	neutral	58.474576	59.322034
563.914853	1.283164	intensity	32	neutral	58.474576	59.322034
572.098937	6.111809	ITI	32	neutral	58.474576	59.322034
578.417225	1.418676	trialstart	33	neutral	50.000000	50.000000
581.931072	2.167015	liking	33	neutral	50.000000	50.000000
581.931072	0.420137	intensity	33	neutral	50.000000	50.000000
587.459460	8.846161	ITI	33	neutral	50.000000	50.000000
596.423788	1.423164	trialstart	34	neutral	66.101695	72.881356
599.925060	3.407369	liking	34	neutral	66.101695	72.881356
599.925060	1.859326	intensity	34	neutral	66.101695	72.881356
608.134637	6.182043	ITI	34	neutral	66.101695	72.881356
614.430293	1.416979	trialstart	35	neutral	50.000000	61.016949
617.930147	2.431269	liking	35	neutral	50.000000	61.016949
617.930147	1.684152	intensity	35	neutral	50.000000	61.016949
624.808847	7.508128	ITI	35	neutral	50.000000	61.016949
632.436953	1.419932	trialstart	36	neutral	50.000000	59.322034
635.950529	1.887169	liking	36	neutral	50.000000	59.322034
635.950529	1.163683	intensity	36	neutral	50.000000	59.322034
641.939542	8.387078	ITI	36	neutral	50.000000	59.322034
650.443540	1.426117	trialstart	37	neutral	47.457627	50.000000
653.956610	1.486220	liking	37	neutral	47.457627	50.000000
653.956610	1.756724	intensity	37	neutral	47.457627	50.000000
659.944998	8.394382	ITI	37	neutral	47.457627	50.000000
668.450162	1.430308	trialstart	38	neutral	50.000000	38.983051
671.960517	1.993686	liking	38	neutral	50.000000	38.983051
671.960517	1.443418	intensity	38	neutral	50.000000	38.983051
678.147999	8.202159	ITI	38	neutral	50.000000	38.983051
686.456782	1.429626	trialstart	39	neutral	40.677966	33.898305
689.963793	2.902477	liking	39	neutral	40.677966	33.898305
689.963793	1.340427	intensity	39	neutral	40.677966	33.898305
696.956212	7.399913	ITI	39	neutral	40.677966	33.898305
