onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549750	16.657481	trialstart	1	14	2	
17.203630	3.397333	ITI	1	14	2	
20.609672	17.101188	trialstart	2	17	2	
37.710839	2.929536	ITI	2	17	2	
40.645604	17.074911	trialstart	3	17	2	
57.720493	3.455811	ITI	3	17	2	
61.181737	16.666148	trialstart	4	16	2	
77.847861	3.364565	ITI	4	16	2	
81.217995	17.138270	trialstart	5	17	2	
98.356242	2.892444	ITI	5	17	2	
101.254426	17.028189	trialstart	6	16	2	
118.282591	2.502520	ITI	6	16	2	
120.791282	16.934535	trialstart	7	16	2	
137.725794	3.596189	ITI	7	16	2	
141.328322	17.173551	trialstart	8	17	2	
158.501849	2.357174	ITI	8	17	2	
160.865415	17.029648	trialstart	9	16	2	
177.895038	3.501082	ITI	9	16	2	
181.402728	16.901855	trialstart	10	15	2	
198.304558	3.128881	ITI	10	15	2	
201.440209	17.457143	trialstart	11	18	2	
218.897327	2.073579	ITI	11	18	2	
220.977844	17.512647	trialstart	12	17	2	
238.490468	2.018257	ITI	12	17	2	
240.515860	17.717755	trialstart	13	15	2	
258.233591	2.312975	ITI	13	15	2	
260.554034	17.472601	trialstart	14	18	2	
278.026610	3.058120	ITI	14	18	2	
281.092230	17.577174	trialstart	15	16	2	
298.669381	2.953585	ITI	15	16	2	
301.630587	16.665275	trialstart	16	16	2	
318.295839	3.865441	ITI	16	16	2	
322.169156	17.202644	trialstart	17	15	2	
339.371775	2.328077	ITI	17	15	2	
341.707774	17.057221	trialstart	18	17	2	
358.764972	3.473513	ITI	18	17	2	
362.246900	17.560728	trialstart	19	19	2	
379.807603	2.469995	ITI	19	19	2	
382.285862	17.066002	trialstart	20	17	2	
399.351841	2.964717	ITI	20	17	2	
402.324977	17.685244	trialstart	21	19	2	
420.010192	1.845484	ITI	21	19	2	
421.864285	16.889343	trialstart	22	15	2	
438.753603	3.641377	ITI	22	15	2	
442.403975	17.708852	trialstart	23	19	2	
460.112800	1.821923	ITI	23	19	2	
461.943862	17.362226	trialstart	24	18	2	
479.306060	2.168502	ITI	24	18	2	
