onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549757	17.106744	trialstart	1	12	2	
17.652879	2.448196	ITI	1	12	2	
20.109796	16.967405	trialstart	2	18	2	
37.077181	2.563331	ITI	2	18	2	
39.645780	16.791301	trialstart	3	18	2	
56.437058	3.239419	ITI	3	18	2	
59.681924	17.131344	trialstart	4	14	2	
76.813246	2.399391	ITI	4	14	2	
79.218237	17.471392	trialstart	5	17	2	
96.689605	3.059318	ITI	5	17	2	
99.754670	17.094563	trialstart	6	14	2	
116.849209	3.436149	ITI	6	14	2	
120.291453	17.250537	trialstart	7	14	2	
137.541966	2.280192	ITI	7	14	2	
139.828437	17.423299	trialstart	8	17	2	
157.251712	2.107437	ITI	8	17	2	
159.365582	17.695897	trialstart	9	12	2	
177.061455	2.834971	ITI	9	12	2	
179.903260	17.017917	trialstart	10	16	2	
196.921152	3.012813	ITI	10	16	2	
199.940704	16.840193	trialstart	11	14	2	
216.780872	2.690556	ITI	11	14	2	
219.478365	17.078920	trialstart	12	15	2	
236.557262	2.951809	ITI	12	15	2	
239.516164	17.367339	trialstart	13	12	2	
256.883481	3.163388	ITI	13	12	2	
260.054145	17.022285	trialstart	14	11	2	
277.076405	3.008447	ITI	14	11	2	
280.092228	16.943857	trialstart	15	13	2	
297.036062	3.586873	ITI	15	13	2	
300.630544	17.031646	trialstart	16	14	2	
317.662166	2.999078	ITI	16	14	2	
320.668994	17.785915	trialstart	17	10	2	
338.454879	2.744821	ITI	17	10	2	
341.207654	17.590136	trialstart	18	14	2	
358.797766	2.440594	ITI	18	14	2	
361.246359	16.778011	trialstart	19	14	2	
378.024346	2.752711	ITI	19	14	2	
380.785294	18.065104	trialstart	20	13	2	
398.850374	2.465658	ITI	20	13	2	
401.324407	16.852552	trialstart	21	9	2	
418.176934	3.178172	ITI	21	9	2	
421.363815	17.655843	trialstart	22	13	2	
439.019633	2.374920	ITI	22	13	2	
441.403358	17.009502	trialstart	23	12	2	
458.412840	2.521274	ITI	23	12	2	
460.943131	17.895947	trialstart	24	12	2	
478.839054	2.634789	ITI	24	12	2	
