onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016266	1.409222	trialstart	1	empty	50.000000	12.711864
5.526761	6.605684	liking	1	empty	50.000000	12.711864
5.526761	3.699941	intensity	1	empty	50.000000	12.711864
18.584086	1.311097	ITI	1	empty	50.000000	12.711864
20.218805	1.424689	trialstart	2	empty	50.000000	12.711864
23.722700	6.518496	liking	2	empty	50.000000	12.711864
23.722700	1.830912	intensity	2	empty	50.000000	12.711864
35.016657	3.096560	ITI	2	empty	50.000000	12.711864
38.224509	1.407130	trialstart	3	empty	61.864407	47.457627
41.732652	3.719573	liking	3	empty	61.864407	47.457627
41.732652	6.532769	intensity	3	empty	61.864407	47.457627
54.910296	1.191064	ITI	3	empty	61.864407	47.457627
56.230237	1.413215	trialstart	4	neutral	30.508475	51.694915
59.734339	3.337516	liking	4	neutral	30.508475	51.694915
59.734339	4.274931	intensity	4	neutral	30.508475	51.694915
70.083151	4.030024	ITI	4	neutral	30.508475	51.694915
74.236028	1.425970	trialstart	5	neutral	43.220339	31.355932
77.745580	4.561392	liking	5	neutral	43.220339	31.355932
77.745580	2.387216	intensity	5	neutral	43.220339	31.355932
87.639327	4.492387	ITI	5	neutral	43.220339	31.355932
92.241833	1.425533	trialstart	6	neutral	55.084746	30.508475
95.747541	3.237817	liking	6	neutral	55.084746	30.508475
95.747541	3.108553	intensity	6	neutral	55.084746	30.508475
105.039157	5.097906	ITI	6	neutral	55.084746	30.508475
110.247720	1.418897	trialstart	7	neutral	57.627119	61.864407
113.755579	2.301937	liking	7	neutral	57.627119	61.864407
113.755579	3.148271	intensity	7	neutral	57.627119	61.864407
121.943905	6.192454	ITI	7	neutral	57.627119	61.864407
128.253599	1.426931	trialstart	8	neutral	60.169492	22.881356
131.752986	3.205690	liking	8	neutral	60.169492	22.881356
131.752986	3.116896	intensity	8	neutral	60.169492	22.881356
140.824059	5.326226	ITI	8	neutral	60.169492	22.881356
146.259513	1.422399	trialstart	9	neutral	58.474576	55.084746
149.766557	2.786037	liking	9	neutral	58.474576	55.084746
149.766557	3.828729	intensity	9	neutral	58.474576	55.084746
159.323184	4.828324	ITI	9	neutral	58.474576	55.084746
164.265565	1.421947	trialstart	10	chocolate	87.288136	87.288136
167.791898	2.432233	liking	10	chocolate	87.288136	87.288136
167.791898	2.316456	intensity	10	chocolate	87.288136	87.288136
175.282311	6.874918	ITI	10	chocolate	87.288136	87.288136
182.271600	1.434718	trialstart	11	chocolate	87.288136	79.661017
185.791713	2.910002	liking	11	chocolate	87.288136	79.661017
185.791713	3.667503	intensity	11	chocolate	87.288136	79.661017
195.325652	4.850397	ITI	11	chocolate	87.288136	79.661017
200.277609	1.417590	trialstart	12	chocolate	87.288136	82.203390
203.790546	2.047908	liking	12	chocolate	87.288136	82.203390
203.790546	3.100544	intensity	12	chocolate	87.288136	82.203390
211.676346	6.488573	ITI	12	chocolate	87.288136	82.203390
218.283631	1.418646	trialstart	13	neutral	12.711864	87.288136
221.791659	2.317588	liking	13	neutral	12.711864	87.288136
221.791659	2.958376	intensity	13	neutral	12.711864	87.288136
230.005990	6.165995	ITI	13	neutral	12.711864	87.288136
236.289680	1.426872	trialstart	14	neutral	12.711864	87.288136
239.793815	2.003606	liking	14	neutral	12.711864	87.288136
239.793815	2.036504	intensity	14	neutral	12.711864	87.288136
246.780616	7.405660	ITI	14	neutral	12.711864	87.288136
254.295737	1.427274	trialstart	15	neutral	50.000000	13.559322
257.810513	6.530592	liking	15	neutral	50.000000	13.559322
257.810513	2.964225	intensity	15	neutral	50.000000	13.559322
270.052675	2.140064	ITI	15	neutral	50.000000	13.559322
272.301842	1.429443	trialstart	16	neutral	31.355932	76.271186
275.807502	3.637283	liking	16	neutral	31.355932	76.271186
275.807502	2.276048	intensity	16	neutral	31.355932	76.271186
284.670309	5.530697	ITI	16	neutral	31.355932	76.271186
290.307983	1.422110	trialstart	17	neutral	28.813559	72.881356
293.816155	3.180526	liking	17	neutral	28.813559	72.881356
293.816155	3.516020	intensity	17	neutral	28.813559	72.881356
303.454397	4.745395	ITI	17	neutral	28.813559	72.881356
308.314087	1.424193	trialstart	18	neutral	31.355932	74.576271
311.820431	2.487700	liking	18	neutral	31.355932	74.576271
311.820431	1.899269	intensity	18	neutral	31.355932	74.576271
319.151375	7.056619	ITI	18	neutral	31.355932	74.576271
326.320281	1.425847	trialstart	19	neutral	57.627119	60.169492
329.832896	3.577533	liking	19	neutral	57.627119	60.169492
329.832896	1.587545	intensity	19	neutral	57.627119	60.169492
337.944712	6.271119	ITI	19	neutral	57.627119	60.169492
344.326455	1.425189	trialstart	20	neutral	50.000000	12.711864
347.830516	2.900544	liking	20	neutral	50.000000	12.711864
347.830516	1.988363	intensity	20	neutral	50.000000	12.711864
355.464071	6.757282	ITI	20	neutral	50.000000	12.711864
362.332620	1.411985	trialstart	21	neutral	50.000000	12.711864
365.842610	2.023977	liking	21	neutral	50.000000	12.711864
365.842610	1.517093	intensity	21	neutral	50.000000	12.711864
372.114702	8.099623	ITI	21	neutral	50.000000	12.711864
380.338844	1.424848	trialstart	22	neutral	12.711864	75.423729
383.837995	2.819258	liking	22	neutral	12.711864	75.423729
383.837995	1.237055	intensity	22	neutral	12.711864	75.423729
390.639417	7.593978	ITI	22	neutral	12.711864	75.423729
398.345147	1.414057	trialstart	23	neutral	25.423729	56.779661
401.851608	3.789546	liking	23	neutral	25.423729	56.779661
401.851608	2.971500	intensity	23	neutral	25.423729	56.779661
411.546911	4.682008	ITI	23	neutral	25.423729	56.779661
416.351586	1.413400	trialstart	24	neutral	39.830508	61.016949
419.862461	3.920062	liking	24	neutral	39.830508	61.016949
419.862461	1.981567	intensity	24	neutral	39.830508	61.016949
428.699199	5.535509	ITI	24	neutral	39.830508	61.016949
434.357931	1.431585	trialstart	25	neutral	34.745763	68.644068
437.867541	2.299080	liking	25	neutral	34.745763	68.644068
