onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.875958	91.525424	1	1
0	0	2	CSplus	0.521374	91.525424	1	2
0	0	3	CSplus	0.344426	91.525424	1	3
0	0	4	CSminus	0.370171	60.169492	1	1
0	0	5	CSminus	0.481834	60.169492	1	2
0	0	6	CSminus	0.333032	60.169492	1	3
0	0	7	CSplus	0.517077	91.525424	1	1
0	0	8	CSplus	0.875428	91.525424	1	2
0	0	9	CSplus	0.669276	91.525424	1	3
0	0	10	CSminus	0.402913	60.169492	1	1
0	0	11	CSminus	0.559539	60.169492	1	2
0	0	12	CSminus	0.488491	60.169492	1	3
0	0	13	CSplus	0.525990	91.525424	1	1
0	0	14	CSplus	0.513256	91.525424	1	2
0	0	15	CSplus	0.552501	91.525424	1	3
0	0	16	CSminus	0.431536	60.169492	1	1
0	0	17	CSminus	0.488338	60.169492	1	2
0	0	18	CSminus	0.426086	60.169492	1	3
0	0	19	CSplus	0.342497	91.525424	1	1
0	0	20	CSplus	0.469570	91.525424	1	2
0	0	21	CSplus	0.380636	91.525424	1	3
0	0	22	CSminus	0.378129	60.169492	1	1
0	0	23	CSminus	0.411219	60.169492	1	2
0	0	24	CSminus	0.437121	60.169492	1	3
0	0	25	CSplus	0.363460	91.525424	1	1
0	0	26	CSplus	0.426652	91.525424	1	2
0	0	27	CSplus	0.359287	91.525424	1	3
0	0	28	CSminus	0.344304	60.169492	1	1
0	0	29	CSminus	0.417731	60.169492	1	2
0	0	30	CSminus	0.416692	60.169492	1	3
0	0	31	CSplus	0.344623	91.525424	1	1
0	0	32	CSplus	0.403445	91.525424	1	2
0	0	33	CSplus	0.387946	91.525424	1	3
0	0	34	CSminus	0.356924	60.169492	1	1
0	0	35	CSminus	0.961311	60.169492	1	2
0	0	36	CSminus	0.371267	60.169492	1	3
0	0	37	CSplus	0.345320	91.525424	1	1
0	0	38	CSplus	0.444382	91.525424	1	2
0	0	39	CSplus	0.327802	91.525424	1	3
0	0	40	CSminus	0.324178	60.169492	1	1
0	0	41	CSminus	0.491412	60.169492	1	2
0	0	42	CSminus	0.374676	60.169492	1	3
0	0	43	CSplus	0.341545	91.525424	1	1
0	0	44	CSplus	0.407958	91.525424	1	2
0	0	45	CSplus	0.423786	91.525424	1	3
0	0	46	CSminus	0.338651	60.169492	1	1
0	0	47	CSminus	0.408250	60.169492	1	2
0	0	48	CSminus	0.370377	60.169492	1	3
0	0	49	CSplus	0.450049	91.525424	1	1
0	0	50	CSplus	0.513300	91.525424	1	2
0	0	51	CSplus	0.409477	91.525424	1	3
0	0	52	CSminus	0.341034	60.169492	1	1
0	0	53	CSminus	0.407368	60.169492	1	2
0	0	54	CSminus	0.367214	60.169492	1	3
0	0	55	CSplus	0.424543	91.525424	1	1
0	0	56	CSplus	0.495826	91.525424	1	2
0	0	57	CSplus	0.479790	91.525424	1	3
0	0	58	CSminus	0.360179	60.169492	1	1
0	0	59	CSminus	0.422438	60.169492	1	2
0	0	60	CSminus	0.387758	60.169492	1	3
0	0	61	CSplus	0.382898	91.525424	1	1
0	0	62	CSplus	0.444827	91.525424	1	2
0	0	63	CSplus	0.383116	91.525424	1	3
0	0	64	CSminus	0.369818	60.169492	1	1
0	0	65	CSminus	0.397238	60.169492	1	2
0	0	66	CSminus	0.328974	60.169492	1	3
0	0	67	CSplus	0.465031	91.525424	1	1
0	0	68	CSplus	0.418459	91.525424	1	2
0	0	69	CSplus	0.461558	91.525424	1	3
0	0	70	CSminus	0.361276	60.169492	1	1
0	0	71	CSminus	0.494412	60.169492	1	2
0	0	72	CSminus	0.544261	60.169492	1	3
0	0	73	CSplus	0.383601	91.525424	1	1
0	0	74	CSplus	0.413662	91.525424	1	2
0	0	75	CSplus	0.393288	91.525424	1	3
0	0	76	CSminus	0.352681	60.169492	1	1
0	0	77	CSminus	0.423990	60.169492	1	2
0	0	78	CSminus	0.405262	60.169492	1	3
0	0	79	CSplus	0.398821	91.525424	1	1
0	0	80	CSplus	0.399041	91.525424	1	2
0	0	81	CSplus	0.398696	91.525424	1	3
0	0	82	CSminus	0.341424	60.169492	1	1
0	0	83	CSminus	0.393360	60.169492	1	2
0	0	84	CSminus	0.385222	60.169492	1	3
0	0	85	CSplus	1.000000	91.525424	0	1
0	0	86	CSplus	0.371008	91.525424	1	2
0	0	87	CSplus	0.348179	91.525424	1	3
0	0	88	CSminus	0.355056	60.169492	1	1
0	0	89	CSminus	0.396989	60.169492	1	2
0	0	90	CSminus	0.357498	60.169492	1	3
0	0	91	CSplus	0.350900	91.525424	1	1
0	0	92	CSplus	0.733739	91.525424	1	2
0	0	93	CSplus	0.401011	91.525424	1	3
0	0	94	CSminus	0.327933	60.169492	1	1
0	0	95	CSminus	0.614341	60.169492	1	2
0	0	96	CSminus	0.405438	60.169492	1	3
0	0	97	CSplus	0.357672	91.525424	1	1
0	0	98	CSplus	0.394520	91.525424	1	2
0	0	99	CSplus	0.327217	91.525424	1	3
0	0	100	CSminus	0.337548	60.169492	1	1
0	0	101	CSminus	0.454387	60.169492	1	2
0	0	102	CSminus	0.317393	60.169492	1	3
0	0	103	CSplus	0.384048	91.525424	1	1
0	0	104	CSplus	0.442479	91.525424	1	2
0	0	105	CSplus	0.413562	91.525424	1	3
0	0	106	CSminus	0.312917	60.169492	1	1
0	0	107	CSminus	0.441316	60.169492	1	2
0	0	108	CSminus	0.322336	60.169492	1	3
0	0	109	Baseline	NaN	41.525424	NaN	NaN
