onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549826	14.396348	trialstart	1	3	1	
14.942542	6.158244	ITI	1	3	1	
21.109486	16.839375	trialstart	2	8	2	
37.948840	3.691358	ITI	2	8	2	
41.645514	17.345860	trialstart	3	9	2	
58.991349	3.184860	ITI	3	9	2	
62.181729	16.619261	trialstart	4	7	2	
78.800967	2.911449	ITI	4	7	2	
81.718067	17.725577	trialstart	5	10	2	
99.443621	1.805146	ITI	5	10	2	
101.254570	17.099022	trialstart	6	10	2	
118.353568	2.931691	ITI	6	10	2	
121.291332	17.471675	trialstart	7	10	2	
138.762984	2.559040	ITI	7	10	2	
141.328258	16.827876	trialstart	8	10	2	
158.156111	2.702845	ITI	8	10	2	
160.865432	17.850044	trialstart	9	11	2	
178.715459	2.180694	ITI	9	11	2	
180.902765	16.972517	trialstart	10	10	2	
197.875258	3.058197	ITI	10	10	2	
200.940215	17.294479	trialstart	11	10	2	
218.234671	3.236236	ITI	11	10	2	
221.477829	16.716437	trialstart	12	10	2	
238.194242	3.814282	ITI	12	10	2	
242.015669	17.537669	trialstart	13	7	2	
259.553313	2.493067	ITI	13	7	2	
262.053662	16.859458	trialstart	14	10	2	
278.913098	3.671281	ITI	14	10	2	
282.591888	18.163453	trialstart	15	11	2	
300.755315	2.367276	ITI	15	11	2	
303.130265	17.085906	trialstart	16	10	2	
320.216145	3.444815	ITI	16	10	2	
323.668786	16.722490	trialstart	17	10	2	
340.391228	2.808271	ITI	17	10	2	
343.207573	18.026239	trialstart	18	11	2	
361.233786	2.004529	ITI	18	11	2	
363.246437	17.548147	trialstart	19	11	2	
380.794558	1.982571	ITI	19	11	2	
382.785375	16.934752	trialstart	20	9	2	
399.720101	2.595975	ITI	20	9	2	
402.324502	14.789432	trialstart	21	9	1	
417.113908	5.241311	ITI	21	9	1	
422.363783	17.608674	trialstart	22	7	2	
439.972431	1.922036	ITI	22	7	2	
441.903281	14.496666	trialstart	23	4	1	
456.399922	5.034032	ITI	23	4	1	
461.442950	12.034262	trialstart	24	8	0	
473.477187	7.996440	ITI	24	8	0	
