onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.009524	17.131661	trialstart	1	None	12	2	Reminder
17.138875	2.411647	ITI	1	None	12	2	Reminder
19.556043	17.591682	trialstart	2	None	13	2	Reminder
37.147698	2.438736	ITI	2	None	13	2	Reminder
39.590767	17.300877	trialstart	3	None	13	2	Reminder
56.891614	3.229506	ITI	3	None	13	2	Reminder
60.130241	13.307293	trialstart	1	None	14	1	Partial_Extinction
73.435789	6.731709	ITI	1	None	14	1	Partial_Extinction
80.171907	11.973228	trialstart	2	None	10	1	Partial_Extinction
92.145102	7.557046	ITI	2	None	10	1	Partial_Extinction
99.706628	11.798470	trialstart	3	None	2	1	Partial_Extinction
111.505055	8.731811	ITI	3	None	2	1	Partial_Extinction
120.241133	11.823464	trialstart	4	None	6	1	Partial_Extinction
132.064555	7.706863	ITI	4	None	6	1	Partial_Extinction
139.775935	11.998573	trialstart	5	None	10	1	Partial_Extinction
151.774445	8.531757	ITI	5	None	10	1	Partial_Extinction
160.311645	11.755769	trialstart	6	None	9	1	Partial_Extinction
172.067369	8.274600	ITI	6	None	9	1	Partial_Extinction
180.350256	9.200281	trialstart	1	Baseline	8	0	PIT
189.595175	10.799719	ITI	1	Baseline	8	0	PIT
200.395120	9.199744	trialstart	2	Baseline	6	0	PIT
209.637620	10.300256	ITI	2	Baseline	6	0	PIT
219.937973	9.216731	trialstart	3	Baseline	7	0	PIT
229.197466	11.283269	ITI	3	Baseline	7	0	PIT
240.485516	9.195348	trialstart	4	CSplus	0	0	PIT
249.723784	10.804652	ITI	4	CSplus	0	0	PIT
260.528513	9.195667	trialstart	5	CSplus	1	0	PIT
269.766712	10.304333	ITI	5	CSplus	1	0	PIT
280.071124	9.195977	trialstart	6	CSplus	0	0	PIT
289.309930	11.304023	ITI	6	CSplus	0	0	PIT
300.618706	9.191190	trialstart	7	CSminus	3	0	PIT
309.852778	10.808810	ITI	7	CSminus	3	0	PIT
320.661667	9.191773	trialstart	8	CSminus	5	0	PIT
329.895803	10.308227	ITI	8	CSminus	5	0	PIT
340.204104	9.192194	trialstart	9	CSminus	12	0	PIT
