onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016263	1.422278	trialstart	1	neutral	59.322034	38.983051
5.517923	3.604315	liking	1	neutral	59.322034	38.983051
5.517923	3.005674	intensity	1	neutral	59.322034	38.983051
14.929614	4.978536	ITI	1	neutral	59.322034	38.983051
20.159849	1.420273	trialstart	2	neutral	36.440678	62.711864
23.662481	3.087968	liking	2	neutral	36.440678	62.711864
23.662481	2.099876	intensity	2	neutral	36.440678	62.711864
31.790545	6.259310	ITI	2	neutral	36.440678	62.711864
38.165540	1.423254	trialstart	3	neutral	50.000000	12.711864
41.679844	1.982552	liking	3	neutral	50.000000	12.711864
41.679844	1.883700	intensity	3	neutral	50.000000	12.711864
48.488680	7.569840	ITI	3	neutral	50.000000	12.711864
56.171401	1.420528	trialstart	4	neutral	38.135593	27.966102
59.688787	2.484163	liking	4	neutral	38.135593	27.966102
59.688787	1.715924	intensity	4	neutral	38.135593	27.966102
66.829592	7.232067	ITI	4	neutral	38.135593	27.966102
74.177188	1.423891	trialstart	5	neutral	50.000000	12.711864
77.681879	2.572760	liking	5	neutral	50.000000	12.711864
77.681879	2.138955	intensity	5	neutral	50.000000	12.711864
85.336577	6.734233	ITI	5	neutral	50.000000	12.711864
92.183043	1.423370	trialstart	6	neutral	44.915254	23.728814
95.684885	3.064693	liking	6	neutral	44.915254	23.728814
95.684885	2.747891	intensity	6	neutral	44.915254	23.728814
104.440185	5.635971	ITI	6	neutral	44.915254	23.728814
110.188924	1.429565	trialstart	7	empty	50.000000	12.711864
113.694152	1.093974	liking	7	empty	50.000000	12.711864
113.694152	1.548292	intensity	7	empty	50.000000	12.711864
119.285737	8.802463	ITI	7	empty	50.000000	12.711864
128.194731	1.416603	trialstart	8	empty	50.847458	16.101695
131.709157	4.006301	liking	8	empty	50.847458	16.101695
131.709157	2.556539	intensity	8	empty	50.847458	16.101695
141.008812	5.072234	ITI	8	empty	50.847458	16.101695
146.200586	1.419748	trialstart	9	empty	50.000000	12.711864
149.715555	1.346377	liking	9	empty	50.000000	12.711864
149.715555	1.364630	intensity	9	empty	50.000000	12.711864
155.362895	8.727153	ITI	9	empty	50.000000	12.711864
164.206586	1.423669	trialstart	10	neutral	22.033898	70.338983
167.713389	2.530627	liking	10	neutral	22.033898	70.338983
167.713389	1.547896	intensity	10	neutral	22.033898	70.338983
174.534331	7.565646	ITI	10	neutral	22.033898	70.338983
182.212509	1.432661	trialstart	11	neutral	37.288136	40.677966
185.723452	2.279598	liking	11	neutral	37.288136	40.677966
185.723452	3.291964	intensity	11	neutral	37.288136	40.677966
