onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.014901	2.399451	trialstart	1	chocolate	75.423729	60.169492
8.202956	3.892156	liking	1	chocolate	75.423729	60.169492
12.593071	3.274322	intensity	1	chocolate	75.423729	60.169492
15.867393	4.015298	ITI	1	chocolate	75.423729	60.169492
20.257258	2.428928	trialstart	2	chocolate	80.508475	40.677966
26.718227	1.711737	liking	2	chocolate	80.508475	40.677966
28.929907	2.836893	intensity	2	chocolate	80.508475	40.677966
31.766800	6.389271	ITI	2	chocolate	80.508475	40.677966
38.261546	2.428815	trialstart	3	chocolate	80.508475	40.677966
44.524682	1.812006	liking	3	chocolate	80.508475	40.677966
46.836635	1.218390	intensity	3	chocolate	80.508475	40.677966
48.055024	8.105232	ITI	3	chocolate	80.508475	40.677966
56.265943	2.428894	trialstart	4	neutral	50.000000	50.000000
62.713388	2.553364	liking	4	neutral	50.000000	50.000000
65.766699	1.550543	intensity	4	neutral	50.000000	50.000000
67.317242	6.847485	ITI	4	neutral	50.000000	50.000000
74.270974	2.428843	trialstart	5	neutral	50.000000	39.830508
80.519961	3.700161	liking	5	neutral	50.000000	39.830508
84.720072	6.537890	intensity	5	neutral	50.000000	39.830508
91.257962	0.911674	ITI	5	neutral	50.000000	39.830508
92.275239	2.428827	trialstart	6	neutral	45.762712	50.000000
98.726595	2.185862	liking	6	neutral	45.762712	50.000000
101.412406	1.644455	intensity	6	neutral	45.762712	50.000000
103.056862	7.117095	ITI	6	neutral	45.762712	50.000000
110.279641	2.428854	trialstart	7	empty	48.305085	40.677966
116.734256	3.574014	liking	7	empty	48.305085	40.677966
120.808204	3.386046	intensity	7	empty	48.305085	40.677966
124.194250	3.984134	ITI	7	empty	48.305085	40.677966
128.284075	2.428884	trialstart	8	empty	50.000000	31.355932
134.540987	1.123377	liking	8	empty	50.000000	31.355932
136.164314	1.818434	intensity	8	empty	50.000000	31.355932
137.982748	8.200108	ITI	8	empty	50.000000	31.355932
146.289364	2.428822	trialstart	9	empty	50.000000	21.186441
152.547559	1.813875	liking	9	empty	50.000000	21.186441
154.861383	1.992127	intensity	9	empty	50.000000	21.186441
156.853510	7.334573	ITI	9	empty	50.000000	21.186441
164.294019	2.428863	trialstart	10	empty	50.000000	28.813559
170.554274	0.693852	liking	10	empty	50.000000	28.813559
171.748075	1.777402	intensity	10	empty	50.000000	28.813559
173.525477	8.667298	ITI	10	empty	50.000000	28.813559
182.298554	2.428838	trialstart	11	empty	50.000000	17.796610
188.760874	1.734915	liking	11	empty	50.000000	17.796610
190.995736	3.215545	intensity	11	empty	50.000000	17.796610
194.211282	5.986004	ITI	11	empty	50.000000	17.796610
200.303081	2.428814	trialstart	12	empty	50.000000	24.576271
206.767521	0.546979	liking	12	empty	50.000000	24.576271
207.814448	1.700497	intensity	12	empty	50.000000	24.576271
209.514944	8.686848	ITI	12	empty	50.000000	24.576271
218.308230	2.428828	trialstart	13	chocolate	79.661017	60.169492
