onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.011740	16.933014	trialstart	1	None	12	2	Reminder
16.942430	2.622080	ITI	1	None	12	2	Reminder
19.569963	17.231368	trialstart	2	None	16	2	Reminder
36.801295	2.799028	ITI	2	None	16	2	Reminder
39.604599	17.023143	trialstart	3	None	16	2	Reminder
56.627701	3.507266	ITI	3	None	16	2	Reminder
60.144504	14.362842	trialstart	1	None	17	1	Partial_Extinction
74.505647	6.175166	ITI	1	None	17	1	Partial_Extinction
80.684898	14.396114	trialstart	2	None	18	1	Partial_Extinction
95.080972	5.134132	ITI	2	None	18	1	Partial_Extinction
100.219461	14.421481	trialstart	3	None	18	1	Partial_Extinction
114.640910	5.608784	ITI	3	None	18	1	Partial_Extinction
120.254822	14.512384	trialstart	4	None	19	1	Partial_Extinction
134.767172	5.517885	ITI	4	None	19	1	Partial_Extinction
140.289668	14.337302	trialstart	5	None	17	1	Partial_Extinction
154.626936	6.192960	ITI	5	None	17	1	Partial_Extinction
160.824954	14.528146	trialstart	6	None	19	1	Partial_Extinction
175.353066	5.002140	ITI	6	None	19	1	Partial_Extinction
180.364386	11.988211	trialstart	1	Baseline	16	0	PIT
192.397682	7.511789	ITI	1	Baseline	16	0	PIT
199.909755	11.986701	trialstart	2	Baseline	11	0	PIT
211.940345	8.013299	ITI	2	Baseline	11	0	PIT
219.953724	11.986432	trialstart	3	Baseline	10	0	PIT
231.983436	8.513568	ITI	3	Baseline	10	0	PIT
240.501418	11.998481	trialstart	4	CSminus	14	0	PIT
252.542908	7.501519	ITI	4	CSminus	14	0	PIT
260.044504	11.998025	trialstart	5	CSminus	12	0	PIT
272.086157	8.001975	ITI	5	CSminus	12	0	PIT
280.088212	11.998048	trialstart	6	CSminus	11	0	PIT
292.129145	8.501952	ITI	6	CSminus	11	0	PIT
300.635894	11.992940	trialstart	7	CSplus	17	0	PIT
312.672029	7.507060	ITI	7	CSplus	17	0	PIT
320.179167	11.992415	trialstart	8	CSplus	13	0	PIT
332.215223	8.007585	ITI	8	CSplus	13	0	PIT
340.222885	11.992432	trialstart	9	CSplus	13	0	PIT
352.258273	8.507568	ITI	9	CSplus	13	0	PIT
360.775640	11.999624	trialstart	10	Baseline	9	0	PIT
372.818007	8.500376	ITI	10	Baseline	9	0	PIT
381.318463	11.998696	trialstart	11	Baseline	11	0	PIT
393.360629	8.001304	ITI	11	Baseline	11	0	PIT
401.362013	11.998824	trialstart	12	Baseline	12	0	PIT
413.403683	7.501176	ITI	12	Baseline	12	0	PIT
420.911891	11.991754	trialstart	13	CSminus	14	0	PIT
432.946888	8.508246	ITI	13	CSminus	14	0	PIT
441.455212	11.991764	trialstart	14	CSminus	11	0	PIT
453.489732	8.008236	ITI	14	CSminus	11	0	PIT
461.498047	11.992290	trialstart	15	CSminus	9	0	PIT
473.532828	7.507710	ITI	15	CSminus	9	0	PIT
481.047408	12.001167	trialstart	16	CSplus	15	0	PIT
493.092633	8.498833	ITI	16	CSplus	15	0	PIT
501.591543	11.984699	trialstart	17	CSplus	14	0	PIT
513.618839	8.015301	ITI	17	CSplus	14	0	PIT
521.634214	12.000847	trialstart	18	CSplus	16	0	PIT
533.678494	7.499153	ITI	18	CSplus	16	0	PIT
541.191710	11.987788	trialstart	19	CSminus	11	0	PIT
553.221767	8.512212	ITI	19	CSminus	11	0	PIT
561.734060	11.987165	trialstart	20	CSminus	5	0	PIT
573.764605	7.512835	ITI	20	CSminus	5	0	PIT
581.277518	11.986889	trialstart	21	CSminus	11	0	PIT
593.307771	8.013111	ITI	21	CSminus	11	0	PIT
601.327709	11.995566	trialstart	22	Baseline	13	0	PIT
613.367478	8.504434	ITI	22	Baseline	13	0	PIT
621.871991	11.995276	trialstart	23	Baseline	11	0	PIT
633.910350	7.504724	ITI	23	Baseline	11	0	PIT
641.415156	11.995449	trialstart	24	Baseline	13	0	PIT
653.453584	8.004551	ITI	24	Baseline	13	0	PIT
661.465038	11.987846	trialstart	25	CSplus	14	0	PIT
673.496627	8.512154	ITI	25	CSplus	14	0	PIT
682.008858	11.988088	trialstart	26	CSplus	18	0	PIT
694.039436	7.511912	ITI	26	CSplus	18	0	PIT
701.551425	11.988332	trialstart	27	CSplus	19	0	PIT
713.582674	8.011668	ITI	27	CSplus	19	0	PIT
721.609647	11.988421	trialstart	28	Baseline	11	0	PIT
733.642374	8.011579	ITI	28	Baseline	11	0	PIT
741.654033	11.987521	trialstart	29	Baseline	11	0	PIT
753.685397	8.512479	ITI	29	Baseline	11	0	PIT
762.197954	11.987741	trialstart	30	Baseline	15	0	PIT
774.228235	7.512259	ITI	30	Baseline	15	0	PIT
781.753817	11.991774	trialstart	31	CSminus	9	0	PIT
793.788077	8.008226	ITI	31	CSminus	9	0	PIT
801.796384	11.992156	trialstart	32	CSminus	14	0	PIT
813.831105	8.507844	ITI	32	CSminus	14	0	PIT
822.339027	11.991542	trialstart	33	CSminus	11	0	PIT
834.374014	7.508458	ITI	33	CSminus	11	0	PIT
841.889654	11.984921	trialstart	34	CSplus	12	0	PIT
853.917218	8.015079	ITI	34	CSplus	12	0	PIT
861.932373	12.000253	trialstart	35	CSplus	13	0	PIT
873.976913	8.499747	ITI	35	CSplus	13	0	PIT
882.476740	12.000116	trialstart	36	CSplus	14	0	PIT
894.519764	7.499884	ITI	36	CSplus	14	0	PIT
902.036097	12.000690	trialstart	37	CSplus	13	0	PIT
914.079591	7.999310	ITI	37	CSplus	13	0	PIT
922.079010	12.001027	trialstart	38	CSplus	13	0	PIT
934.122628	7.498973	ITI	38	CSplus	13	0	PIT
941.621682	12.001407	trialstart	39	CSplus	13	0	PIT
953.665925	8.498593	ITI	39	CSplus	13	0	PIT
962.171551	11.994812	trialstart	40	CSminus	9	0	PIT
974.208731	8.005188	ITI	40	CSminus	9	0	PIT
982.213998	11.995227	trialstart	41	CSminus	10	0	PIT
994.251712	7.504773	ITI	41	CSminus	10	0	PIT
1001.756563	11.995806	trialstart	42	CSminus	12	0	PIT
1013.794948	8.504194	ITI	42	CSminus	12	0	PIT
1022.306336	11.989046	trialstart	43	Baseline	9	0	PIT
1034.337847	8.010954	ITI	43	Baseline	9	0	PIT
1042.348880	11.987716	trialstart	44	Baseline	11	0	PIT
1054.380849	7.512284	ITI	44	Baseline	11	0	PIT
1061.893209	11.986747	trialstart	45	Baseline	10	0	PIT
1073.924055	8.513253	ITI	45	Baseline	10	0	PIT
