onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.000741	17.314519	trialstart	1	None	18	2	Reminder
17.314917	3.216899	ITI	1	None	18	2	Reminder
20.535084	16.989294	trialstart	2	None	19	2	Reminder
37.524348	2.541109	ITI	2	None	19	2	Reminder
40.070240	17.263792	trialstart	3	None	20	2	Reminder
57.333966	2.766638	ITI	3	None	20	2	Reminder
60.105484	14.322361	trialstart	1	None	25	1	Partial_Extinction
74.427825	5.707956	ITI	1	None	25	1	Partial_Extinction
80.138890	14.498404	trialstart	2	None	25	1	Partial_Extinction
94.637261	5.031871	ITI	2	None	25	1	Partial_Extinction
99.673407	14.323684	trialstart	3	None	18	1	Partial_Extinction
113.997048	6.206596	ITI	3	None	18	1	Partial_Extinction
120.208639	14.331101	trialstart	4	None	24	1	Partial_Extinction
134.539694	5.699189	ITI	4	None	24	1	Partial_Extinction
140.245285	14.437215	trialstart	5	None	22	1	Partial_Extinction
154.682455	6.093140	ITI	5	None	22	1	Partial_Extinction
160.780381	14.494784	trialstart	6	None	21	1	Partial_Extinction
175.275120	5.035500	ITI	6	None	21	1	Partial_Extinction
180.316877	11.991896	trialstart	1	CSplus	25	0	PIT
192.352389	8.508104	ITI	1	CSplus	25	0	PIT
200.860573	11.991248	trialstart	2	CSplus	20	0	PIT
212.895012	7.508752	ITI	2	CSplus	20	0	PIT
220.403838	11.990810	trialstart	3	CSplus	1	0	PIT
232.438061	8.009190	ITI	3	CSplus	1	0	PIT
240.451508	11.986834	trialstart	4	CSminus	3	0	PIT
252.480908	8.513166	ITI	4	CSminus	3	0	PIT
260.994153	11.986344	trialstart	5	CSminus	21	0	PIT
273.023565	7.513656	ITI	5	CSminus	21	0	PIT
280.537298	11.985955	trialstart	6	CSminus	9	0	PIT
292.566529	8.014045	ITI	6	CSminus	9	0	PIT
300.585240	11.998459	trialstart	7	Baseline	13	0	PIT
312.626074	8.501541	ITI	7	Baseline	13	0	PIT
321.127692	11.997982	trialstart	8	Baseline	9	0	PIT
333.168695	7.502018	ITI	8	Baseline	9	0	PIT
340.670791	11.997722	trialstart	9	Baseline	0	0	PIT
352.711724	8.002278	ITI	9	Baseline	0	0	PIT
360.723642	11.987850	trialstart	10	CSminus	2	0	PIT
372.754567	8.012150	ITI	10	CSminus	2	0	PIT
380.766822	11.987928	trialstart	11	CSminus	1	0	PIT
392.797383	8.512072	ITI	11	CSminus	1	0	PIT
401.309535	11.986755	trialstart	12	CSminus	1	0	PIT
413.340078	7.513245	ITI	12	CSminus	1	0	PIT
420.860199	11.996572	trialstart	13	Baseline	0	0	PIT
432.899782	8.003428	ITI	13	Baseline	0	0	PIT
440.903288	11.997067	trialstart	14	Baseline	0	0	PIT
452.942619	8.502933	ITI	14	Baseline	0	0	PIT
461.445629	11.996431	trialstart	15	Baseline	1	0	PIT
473.485276	7.503569	ITI	15	Baseline	1	0	PIT
480.995762	11.990012	trialstart	16	CSplus	0	0	PIT
493.028248	8.009988	ITI	16	CSplus	0	0	PIT
501.038315	11.990015	trialstart	17	CSplus	1	0	PIT
513.071109	8.509985	ITI	17	CSplus	1	0	PIT
521.581171	11.989619	trialstart	18	CSplus	17	0	PIT
533.613767	7.510381	ITI	18	CSplus	17	0	PIT
541.144900	11.986243	trialstart	19	CSminus	19	0	PIT
553.173475	8.513757	ITI	19	CSminus	19	0	PIT
561.687308	11.985434	trialstart	20	CSminus	5	0	PIT
573.716109	8.014566	ITI	20	CSminus	5	0	PIT
581.730756	11.985660	trialstart	21	CSminus	0	0	PIT
593.759007	7.514340	ITI	21	CSminus	0	0	PIT
601.280406	11.995577	trialstart	22	CSplus	21	0	PIT
613.318610	8.504423	ITI	22	CSplus	21	0	PIT
621.823109	11.995162	trialstart	23	CSplus	31	0	PIT
633.861291	8.004838	ITI	23	CSplus	31	0	PIT
641.866229	11.995403	trialstart	24	CSplus	27	0	PIT
653.904125	7.504597	ITI	24	CSplus	27	0	PIT
661.415888	11.987261	trialstart	25	Baseline	5	0	PIT
673.447146	8.512739	ITI	25	Baseline	5	0	PIT
681.959963	11.987237	trialstart	26	Baseline	19	0	PIT
693.989813	8.012763	ITI	26	Baseline	19	0	PIT
702.002653	11.986365	trialstart	27	Baseline	11	0	PIT
714.032673	7.513635	ITI	27	Baseline	11	0	PIT
721.562180	11.987400	trialstart	28	Baseline	1	0	PIT
733.592345	7.512600	ITI	28	Baseline	1	0	PIT
741.105019	11.986858	trialstart	29	Baseline	0	0	PIT
753.135339	8.513142	ITI	29	Baseline	0	0	PIT
761.648561	11.986176	trialstart	30	Baseline	0	0	PIT
773.677976	8.013824	ITI	30	Baseline	0	0	PIT
781.698950	11.994786	trialstart	31	CSplus	0	0	PIT
793.737479	7.505214	ITI	31	CSplus	0	0	PIT
801.242766	11.993857	trialstart	32	CSplus	0	0	PIT
813.280548	8.506143	ITI	32	CSplus	0	0	PIT
821.786766	11.993999	trialstart	33	CSplus	1	0	PIT
833.823209	8.006001	ITI	33	CSplus	1	0	PIT
841.836312	11.986743	trialstart	34	CSminus	2	0	PIT
853.866041	7.513257	ITI	34	CSminus	2	0	PIT
861.379397	11.986670	trialstart	35	CSminus	2	0	PIT
873.409045	8.513330	ITI	35	CSminus	2	0	PIT
881.922453	11.986652	trialstart	36	CSminus	3	0	PIT
893.951729	8.013348	ITI	36	CSminus	3	0	PIT
901.982039	11.985758	trialstart	37	CSplus	1	0	PIT
914.011180	8.014242	ITI	37	CSplus	1	0	PIT
922.025498	11.985700	trialstart	38	CSplus	0	0	PIT
934.054037	8.514300	ITI	38	CSplus	0	0	PIT
942.568413	12.000955	trialstart	39	CSplus	0	0	PIT
954.613301	7.499045	ITI	39	CSplus	0	0	PIT
