onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.377740	63.559322	1	1
0	0	2	CSplus	0.389342	63.559322	1	2
0	0	3	CSplus	0.323840	63.559322	1	3
0	0	4	CSminus	0.333168	35.593220	1	1
0	0	5	CSminus	0.397858	35.593220	1	2
0	0	6	CSminus	0.352586	35.593220	1	3
0	0	7	CSplus	0.418039	63.559322	1	1
0	0	8	CSplus	0.277234	63.559322	1	2
0	0	9	CSplus	0.329888	63.559322	1	3
0	0	10	CSminus	0.364397	35.593220	1	1
0	0	11	CSminus	0.291196	35.593220	1	2
0	0	12	CSminus	0.289214	35.593220	1	3
0	0	13	CSplus	0.373995	63.559322	1	1
0	0	14	CSplus	0.374277	63.559322	1	2
0	0	15	CSplus	0.257317	63.559322	1	3
0	0	16	CSminus	0.327557	35.593220	1	1
0	0	17	CSminus	0.272645	35.593220	1	2
0	0	18	CSminus	0.276899	35.593220	1	3
0	0	19	CSplus	0.353924	63.559322	1	1
0	0	20	CSplus	0.318663	63.559322	1	2
0	0	21	CSplus	0.357964	63.559322	1	3
0	0	22	CSminus	0.342075	35.593220	1	1
0	0	23	CSminus	0.343932	35.593220	1	2
0	0	24	CSminus	0.327052	35.593220	1	3
0	0	25	CSplus	0.340594	63.559322	1	1
0	0	26	CSplus	0.290491	63.559322	1	2
0	0	27	CSplus	0.319492	63.559322	1	3
0	0	28	CSminus	0.450443	35.593220	1	1
0	0	29	CSminus	0.637904	35.593220	1	2
0	0	30	CSminus	0.294051	35.593220	1	3
0	0	31	CSplus	0.461487	63.559322	1	1
0	0	32	CSplus	0.317841	63.559322	1	2
0	0	33	CSplus	0.287380	63.559322	1	3
0	0	34	CSminus	0.349334	35.593220	1	1
0	0	35	CSminus	0.321857	35.593220	1	2
0	0	36	CSminus	0.403059	35.593220	1	3
0	0	37	CSplus	0.347747	63.559322	1	1
0	0	38	CSplus	0.300076	63.559322	1	2
0	0	39	CSplus	0.394516	63.559322	1	3
0	0	40	CSminus	0.383455	35.593220	1	1
0	0	41	CSminus	0.294737	35.593220	1	2
0	0	42	CSminus	0.420536	35.593220	1	3
0	0	43	CSplus	0.400793	63.559322	1	1
0	0	44	CSplus	0.298302	63.559322	1	2
0	0	45	CSplus	0.299893	63.559322	1	3
0	0	46	CSminus	0.336222	35.593220	1	1
0	0	47	CSminus	0.443150	35.593220	1	2
0	0	48	CSminus	0.378059	35.593220	1	3
0	0	49	CSplus	0.346294	63.559322	1	1
0	0	50	CSplus	0.438904	63.559322	1	2
0	0	51	CSplus	1.000000	63.559322	0	3
0	0	52	CSminus	0.341948	35.593220	1	1
0	0	53	CSminus	0.304333	35.593220	1	2
0	0	54	CSminus	0.354394	35.593220	1	3
0	0	55	CSplus	0.354274	63.559322	1	1
0	0	56	CSplus	0.357524	63.559322	1	2
0	0	57	CSplus	0.349414	63.559322	1	3
0	0	58	CSminus	0.329453	35.593220	1	1
0	0	59	CSminus	0.357789	35.593220	1	2
0	0	60	CSminus	0.381395	35.593220	1	3
0	0	61	CSplus	0.389228	63.559322	1	1
0	0	62	CSplus	0.633230	63.559322	1	2
0	0	63	CSplus	0.540672	63.559322	1	3
0	0	64	CSminus	0.316145	35.593220	1	1
0	0	65	CSminus	0.298610	35.593220	1	2
0	0	66	CSminus	0.409782	35.593220	1	3
0	0	67	CSplus	0.289307	63.559322	1	1
0	0	68	CSplus	0.337874	63.559322	1	2
0	0	69	CSplus	0.290150	63.559322	1	3
0	0	70	CSminus	0.372695	35.593220	1	1
0	0	71	CSminus	0.359988	35.593220	1	2
0	0	72	CSminus	0.339120	35.593220	1	3
0	0	73	CSplus	0.445258	63.559322	1	1
0	0	74	CSplus	1.000000	63.559322	0	2
0	0	75	CSplus	0.339292	63.559322	1	3
0	0	76	CSminus	0.538329	35.593220	1	1
0	0	77	CSminus	0.558929	35.593220	1	2
0	0	78	CSminus	0.391310	35.593220	1	3
0	0	79	CSplus	0.336313	63.559322	1	1
0	0	80	CSplus	0.325613	63.559322	1	2
0	0	81	CSplus	0.990783	63.559322	1	3
0	0	82	CSminus	0.327389	35.593220	1	1
0	0	83	CSminus	0.732113	35.593220	1	2
0	0	84	CSminus	0.406108	35.593220	1	3
0	0	85	CSplus	0.380636	63.559322	1	1
0	0	86	CSplus	0.336380	63.559322	1	2
0	0	87	CSplus	0.349248	63.559322	1	3
0	0	88	CSminus	0.441165	35.593220	1	1
0	0	89	CSminus	0.423794	35.593220	1	2
0	0	90	CSminus	0.454158	35.593220	1	3
0	0	91	CSplus	0.447224	63.559322	1	1
0	0	92	CSplus	0.296424	63.559322	1	2
0	0	93	CSplus	0.334219	63.559322	1	3
0	0	94	CSminus	0.368829	35.593220	1	1
0	0	95	CSminus	0.445886	35.593220	1	2
0	0	96	CSminus	0.840515	35.593220	1	3
0	0	97	CSplus	0.359468	63.559322	1	1
0	0	98	CSplus	0.287373	63.559322	1	2
0	0	99	CSplus	0.783628	63.559322	1	3
0	0	100	CSminus	0.348667	35.593220	1	1
0	0	101	CSminus	0.327783	35.593220	1	2
0	0	102	CSminus	0.307635	35.593220	1	3
0	0	103	CSplus	0.313943	63.559322	1	1
0	0	104	CSplus	0.296854	63.559322	1	2
0	0	105	CSplus	0.414064	63.559322	1	3
0	0	106	CSminus	0.315167	35.593220	1	1
0	0	107	CSminus	0.290508	35.593220	1	2
0	0	108	CSminus	0.265700	35.593220	1	3
0	0	109	Baseline	NaN	60.169492	NaN	NaN
