onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549776	16.768070	trialstart	1	14	2	
17.314213	3.787043	ITI	1	14	2	
21.110257	17.077791	trialstart	2	17	2	
38.188028	2.452940	ITI	2	17	2	
40.646308	17.084885	trialstart	3	17	2	
57.731169	2.445836	ITI	3	17	2	
60.182425	17.058597	trialstart	4	18	2	
77.241000	2.472154	ITI	4	18	2	
79.718801	16.898757	trialstart	5	17	2	
96.617534	3.131967	ITI	5	17	2	
99.755278	17.171848	trialstart	6	18	2	
116.927102	3.358868	ITI	6	18	2	
120.291955	16.912503	trialstart	7	16	2	
137.204434	2.618226	ITI	7	16	2	
139.828967	17.434005	trialstart	8	14	2	
157.262944	2.096729	ITI	8	14	2	
159.366014	18.489748	trialstart	9	12	2	
177.855740	1.540972	ITI	9	12	2	
179.403241	17.895714	trialstart	10	18	2	
197.298928	1.635026	ITI	10	18	2	
198.940567	16.951859	trialstart	11	17	2	
215.892403	3.578856	ITI	11	17	2	
219.478111	17.107083	trialstart	12	7	2	
236.585171	3.423648	ITI	12	7	2	
240.015788	17.545376	trialstart	13	8	2	
257.561141	1.985343	ITI	13	8	2	
259.553631	14.468418	trialstart	14	10	1	
274.022026	5.062351	ITI	14	10	1	
279.091701	18.222213	trialstart	15	7	2	
297.313890	2.308554	ITI	15	7	2	
299.629869	12.162357	trialstart	16	7	0	
311.792205	7.868340	ITI	16	7	0	
319.668279	14.599334	trialstart	17	12	1	
334.267589	5.931380	ITI	17	12	1	
340.206795	12.187790	trialstart	18	12	0	
352.394562	7.842899	ITI	18	12	0	
360.245402	17.873500	trialstart	19	7	2	
378.118877	2.657228	ITI	19	7	2	
380.784145	14.878606	trialstart	20	11	1	
395.662729	5.152106	ITI	20	11	1	
400.823082	14.782674	trialstart	21	3	1	
415.605732	5.248035	ITI	21	3	1	
420.862292	12.187358	trialstart	22	9	0	
433.049625	8.343345	ITI	22	9	0	
441.401698	16.889121	trialstart	23	7	2	
458.290794	3.141599	ITI	23	7	2	
461.441235	17.892204	trialstart	24	12	2	
479.333415	2.138546	ITI	24	12	2	
