onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.000682	12.192523	trialstart	1	None	3	0	Reminder
12.192844	8.338645	ITI	1	None	3	0	Reminder
20.535022	16.699171	trialstart	2	None	9	2	Reminder
37.234163	3.331238	ITI	2	None	9	2	Reminder
40.569824	17.257233	trialstart	3	None	11	2	Reminder
57.827015	2.273175	ITI	3	None	11	2	Reminder
60.104826	14.333106	trialstart	1	None	11	1	Partial_Extinction
74.437913	5.197218	ITI	1	None	11	1	Partial_Extinction
79.638269	14.592743	trialstart	2	None	9	1	Partial_Extinction
94.230970	5.937569	ITI	2	None	9	1	Partial_Extinction
100.173247	14.733959	trialstart	3	None	8	1	Partial_Extinction
114.907152	5.296299	ITI	3	None	8	1	Partial_Extinction
120.207983	14.375707	trialstart	4	None	12	1	Partial_Extinction
134.583647	6.154582	ITI	4	None	12	1	Partial_Extinction
140.742851	14.683585	trialstart	5	None	4	1	Partial_Extinction
155.426381	4.846732	ITI	5	None	4	1	Partial_Extinction
160.278183	14.508177	trialstart	6	None	5	1	Partial_Extinction
174.786307	5.522143	ITI	6	None	5	1	Partial_Extinction
180.319933	12.000121	trialstart	1	CSminus	1	0	PIT
192.363523	7.999879	ITI	1	CSminus	1	0	PIT
200.363483	12.000097	trialstart	2	CSminus	2	0	PIT
212.406567	8.499903	ITI	2	CSminus	2	0	PIT
220.906553	12.032315	trialstart	3	CSminus	0	0	PIT
232.982766	7.467685	ITI	3	CSminus	0	0	PIT
240.454498	12.028365	trialstart	4	CSplus	10	0	PIT
252.525952	7.971635	ITI	4	CSplus	10	0	PIT
260.497669	12.028633	trialstart	5	CSplus	3	0	PIT
272.568944	8.471367	ITI	5	CSplus	3	0	PIT
281.040394	12.027549	trialstart	6	CSplus	4	0	PIT
293.111884	7.472451	ITI	6	CSplus	4	0	PIT
300.588481	12.023287	trialstart	7	Baseline	1	0	PIT
312.655039	7.976713	ITI	7	Baseline	1	0	PIT
320.631836	12.023342	trialstart	8	Baseline	0	0	PIT
332.698074	8.476658	ITI	8	Baseline	0	0	PIT
341.174815	12.022238	trialstart	9	Baseline	0	0	PIT
353.240930	7.477762	ITI	9	Baseline	0	0	PIT
360.726584	12.031826	trialstart	10	CSplus	3	0	PIT
372.800909	7.468174	ITI	10	CSplus	3	0	PIT
380.269162	12.031867	trialstart	11	CSplus	2	0	PIT
392.343999	8.468133	ITI	11	CSplus	2	0	PIT
400.812212	12.032194	trialstart	12	CSplus	8	0	PIT
412.886821	7.967806	ITI	12	CSplus	8	0	PIT
420.861495	12.025856	trialstart	13	CSminus	3	0	PIT
432.929949	7.474144	ITI	13	CSminus	3	0	PIT
440.404173	12.026154	trialstart	14	CSminus	8	0	PIT
452.473125	8.473846	ITI	14	CSminus	8	0	PIT
460.947051	12.025147	trialstart	15	CSminus	12	0	PIT
473.015985	7.974853	ITI	15	CSminus	12	0	PIT
480.998017	12.000282	trialstart	16	Baseline	3	0	PIT
493.042362	7.499718	ITI	16	Baseline	3	0	PIT
500.542159	12.017629	trialstart	17	Baseline	6	0	PIT
512.602221	8.482371	ITI	17	Baseline	6	0	PIT
521.084674	12.000389	trialstart	18	Baseline	12	0	PIT
533.128375	7.999611	ITI	18	Baseline	12	0	PIT
541.142680	12.019629	trialstart	19	CSplus	12	0	PIT
553.204813	7.980371	ITI	19	CSplus	12	0	PIT
561.185264	12.020266	trialstart	20	CSplus	11	0	PIT
573.247809	7.479734	ITI	20	CSplus	11	0	PIT
580.727622	12.020878	trialstart	21	CSplus	12	0	PIT
592.790993	8.479122	ITI	21	CSplus	12	0	PIT
601.277104	12.030834	trialstart	22	CSminus	11	0	PIT
613.350481	7.969166	ITI	22	CSminus	11	0	PIT
621.319750	12.031230	trialstart	23	CSminus	5	0	PIT
633.393508	7.468770	ITI	23	CSminus	5	0	PIT
640.862357	12.031814	trialstart	24	CSminus	12	0	PIT
652.936806	8.468186	ITI	24	CSminus	12	0	PIT
661.411836	12.025301	trialstart	25	Baseline	10	0	PIT
673.479625	7.974699	ITI	25	Baseline	10	0	PIT
681.454403	12.024100	trialstart	26	Baseline	9	0	PIT
693.522646	7.475900	ITI	26	Baseline	9	0	PIT
700.998629	12.024573	trialstart	27	Baseline	10	0	PIT
713.065866	8.475427	ITI	27	Baseline	10	0	PIT
721.557310	12.025114	trialstart	28	CSminus	8	0	PIT
733.625369	7.474886	ITI	28	CSminus	8	0	PIT
741.100356	12.024912	trialstart	29	CSminus	13	0	PIT
753.168588	7.975088	ITI	29	CSminus	13	0	PIT
761.143758	12.025144	trialstart	30	CSminus	11	0	PIT
773.211599	8.474856	ITI	30	CSminus	11	0	PIT
781.693539	12.001603	trialstart	31	Baseline	9	0	PIT
793.737831	7.498397	ITI	31	Baseline	9	0	PIT
801.236303	12.018442	trialstart	32	Baseline	6	0	PIT
813.297706	7.981558	ITI	32	Baseline	6	0	PIT
821.279356	12.018672	trialstart	33	Baseline	9	0	PIT
833.340694	8.481328	ITI	33	Baseline	9	0	PIT
841.828907	12.029229	trialstart	34	CSplus	10	0	PIT
853.900279	7.470771	ITI	34	CSplus	10	0	PIT
861.371131	12.029653	trialstart	35	CSplus	12	0	PIT
873.443390	7.970347	ITI	35	CSplus	12	0	PIT
881.413821	12.030129	trialstart	36	CSplus	15	0	PIT
893.486480	8.469871	ITI	36	CSplus	15	0	PIT
901.973940	12.029852	trialstart	37	Baseline	15	0	PIT
914.045985	8.470148	ITI	37	Baseline	15	0	PIT
922.516232	12.029896	trialstart	38	Baseline	15	0	PIT
934.588867	7.970104	ITI	38	Baseline	15	0	PIT
942.559049	12.029141	trialstart	39	Baseline	15	0	PIT
954.631888	7.470859	ITI	39	Baseline	15	0	PIT
962.109907	12.022514	trialstart	40	CSplus	14	0	PIT
974.175044	8.477486	ITI	40	CSplus	14	0	PIT
982.652611	12.021827	trialstart	41	CSplus	17	0	PIT
994.717949	7.978173	ITI	41	CSplus	17	0	PIT
1002.696222	12.021812	trialstart	42	CSplus	17	0	PIT
1014.760965	7.478188	ITI	42	CSplus	17	0	PIT
1022.246169	12.032280	trialstart	43	CSminus	14	0	PIT
1034.320859	8.467720	ITI	43	CSminus	14	0	PIT
1042.788656	12.031580	trialstart	44	CSminus	17	0	PIT
1054.863691	7.968420	ITI	44	CSminus	17	0	PIT
1062.832188	12.031812	trialstart	45	CSminus	2	0	PIT
1074.906764	7.468188	ITI	45	CSminus	2	0	PIT
