onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016407	1.388910	trialstart	1	neutral	74.576271	50.000000
5.528627	2.790596	liking	1	neutral	74.576271	50.000000
5.528627	3.254600	intensity	1	neutral	74.576271	50.000000
14.344257	5.530764	ITI	1	neutral	74.576271	50.000000
20.162129	1.373998	trialstart	2	neutral	50.000000	19.491525
23.696042	2.078171	liking	2	neutral	50.000000	19.491525
23.696042	2.635123	intensity	2	neutral	50.000000	19.491525
31.112335	6.893477	ITI	2	neutral	50.000000	19.491525
38.167871	1.353264	trialstart	3	neutral	81.355932	59.322034
41.707945	2.877622	liking	3	neutral	81.355932	59.322034
41.707945	1.539504	intensity	3	neutral	81.355932	59.322034
49.003314	6.987535	ITI	3	neutral	81.355932	59.322034
56.173632	1.357069	trialstart	4	neutral	39.830508	73.728814
59.721333	2.024939	liking	4	neutral	39.830508	73.728814
59.721333	1.883812	intensity	4	neutral	39.830508	73.728814
66.310407	7.689998	ITI	4	neutral	39.830508	73.728814
74.179396	1.376642	trialstart	5	neutral	42.372881	56.779661
77.700878	2.163870	liking	5	neutral	42.372881	56.779661
77.700878	1.444537	intensity	5	neutral	42.372881	56.779661
84.010785	8.014984	ITI	5	neutral	42.372881	56.779661
92.185259	1.386148	trialstart	6	neutral	46.610169	44.067797
95.721752	2.086003	liking	6	neutral	46.610169	44.067797
95.721752	1.500089	intensity	6	neutral	46.610169	44.067797
102.220215	7.820882	ITI	6	neutral	46.610169	44.067797
110.191121	1.397251	trialstart	7	neutral	34.745763	43.220339
113.926227	2.303834	liking	7	neutral	34.745763	43.220339
113.926227	2.436558	intensity	7	neutral	34.745763	43.220339
121.390439	6.667636	ITI	7	neutral	34.745763	43.220339
128.197072	1.358378	trialstart	8	neutral	50.000000	12.711864
131.712007	1.857955	liking	8	neutral	50.000000	12.711864
131.712007	2.028656	intensity	8	neutral	50.000000	12.711864
138.286919	7.738204	ITI	8	neutral	50.000000	12.711864
146.203027	1.404633	trialstart	9	neutral	50.000000	19.491525
149.730867	1.450074	liking	9	neutral	50.000000	19.491525
149.730867	2.675661	intensity	9	neutral	50.000000	19.491525
156.588259	7.489105	ITI	9	neutral	50.000000	19.491525
164.209056	1.379909	trialstart	10	neutral	68.644068	56.779661
167.738743	2.115264	liking	10	neutral	68.644068	56.779661
167.738743	1.733581	intensity	10	neutral	68.644068	56.779661
174.292809	7.765891	ITI	10	neutral	68.644068	56.779661
182.215044	1.393542	trialstart	11	neutral	61.864407	60.169492
185.727168	2.749777	liking	11	neutral	61.864407	60.169492
185.727168	1.651147	intensity	11	neutral	61.864407	60.169492
192.848785	7.229505	ITI	11	neutral	61.864407	60.169492
200.221090	1.390649	trialstart	12	neutral	61.864407	44.067797
203.735849	1.901860	liking	12	neutral	61.864407	44.067797
203.735849	1.772439	intensity	12	neutral	61.864407	44.067797
210.125732	7.955688	ITI	12	neutral	61.864407	44.067797
218.227229	1.383473	trialstart	13	neutral	81.355932	61.016949
221.756246	2.856489	liking	13	neutral	81.355932	61.016949
221.756246	2.541096	intensity	13	neutral	81.355932	61.016949
230.070389	6.010028	ITI	13	neutral	81.355932	61.016949
236.233265	1.407236	trialstart	14	neutral	66.101695	63.559322
239.763473	1.803461	liking	14	neutral	66.101695	63.559322
239.763473	1.868460	intensity	14	neutral	66.101695	63.559322
246.165478	7.944762	ITI	14	neutral	66.101695	63.559322
254.239501	1.378317	trialstart	15	neutral	75.423729	33.898305
257.753261	2.651177	liking	15	neutral	75.423729	33.898305
257.753261	1.996689	intensity	15	neutral	75.423729	33.898305
265.304124	6.783431	ITI	15	neutral	75.423729	33.898305
272.245627	1.282775	trialstart	16	chocolate	69.491525	55.932203
275.762894	3.482142	liking	16	chocolate	69.491525	55.932203
275.762894	2.300348	intensity	16	chocolate	69.491525	55.932203
284.160452	5.837663	ITI	16	chocolate	69.491525	55.932203
290.251941	1.388651	trialstart	17	chocolate	66.949153	37.288136
293.761717	1.826392	liking	17	chocolate	66.949153	37.288136
293.761717	1.324513	intensity	17	chocolate	66.949153	37.288136
299.633849	8.476460	ITI	17	chocolate	66.949153	37.288136
308.258118	1.402801	trialstart	18	chocolate	50.000000	22.033898
311.790080	1.210040	liking	18	chocolate	50.000000	22.033898
311.790080	3.035974	intensity	18	chocolate	50.000000	22.033898
318.967971	7.162657	ITI	18	chocolate	50.000000	22.033898
326.264265	1.374694	trialstart	19	neutral	56.779661	33.050847
329.781096	2.725243	liking	19	neutral	56.779661	33.050847
329.781096	1.419552	intensity	19	neutral	56.779661	33.050847
336.626387	7.482277	ITI	19	neutral	56.779661	33.050847
344.270410	0.535804	trialstart	20	neutral	55.932203	61.016949
347.782009	1.465145	liking	20	neutral	55.932203	61.016949
347.782009	2.780230	intensity	20	neutral	55.932203	61.016949
354.140794	7.135122	ITI	20	neutral	55.932203	61.016949
362.276610	1.363619	trialstart	21	neutral	56.779661	62.711864
365.804183	2.101999	liking	21	neutral	56.779661	62.711864
365.804183	2.274449	intensity	21	neutral	56.779661	62.711864
373.070865	7.039094	ITI	21	neutral	56.779661	62.711864
380.282918	1.387746	trialstart	22	neutral	38.983051	62.711864
383.804520	2.602375	liking	22	neutral	38.983051	62.711864
383.804520	2.108377	intensity	22	neutral	38.983051	62.711864
391.238773	6.901598	ITI	22	neutral	38.983051	62.711864
398.289229	1.369749	trialstart	23	neutral	36.440678	56.779661
401.818453	1.766327	liking	23	neutral	36.440678	56.779661
401.818453	2.579771	intensity	23	neutral	36.440678	56.779661
409.060507	7.068203	ITI	23	neutral	36.440678	56.779661
416.295582	1.403759	trialstart	24	neutral	38.135593	27.966102
419.808716	1.977746	liking	24	neutral	38.135593	27.966102
419.808716	2.339990	intensity	24	neutral	38.135593	27.966102
426.862102	7.306935	ITI	24	neutral	38.135593	27.966102
434.302047	1.399221	trialstart	25	empty	50.000000	16.101695
437.814302	1.667133	liking	25	empty	50.000000	16.101695
437.814302	2.539392	intensity	25	empty	50.000000	16.101695
444.945507	7.225466	ITI	25	empty	50.000000	16.101695
452.308433	1.360931	trialstart	26	empty	50.000000	12.711864
455.828924	1.390774	liking	26	empty	50.000000	12.711864
455.828924	1.899248	intensity	26	empty	50.000000	12.711864
461.811034	8.328064	ITI	26	empty	50.000000	12.711864
470.314863	1.373634	trialstart	27	empty	50.000000	12.711864
473.834173	0.640075	liking	27	empty	50.000000	12.711864
473.834173	3.683900	intensity	27	empty	50.000000	12.711864
480.863003	7.295201	ITI	27	empty	50.000000	12.711864
488.321299	1.366561	trialstart	28	neutral	19.491525	82.203390
491.842172	1.871983	liking	28	neutral	19.491525	82.203390
491.842172	2.635647	intensity	28	neutral	19.491525	82.203390
499.247381	6.910191	ITI	28	neutral	19.491525	82.203390
506.328041	1.397203	trialstart	29	neutral	17.796610	83.050847
509.855564	2.026545	liking	29	neutral	17.796610	83.050847
509.855564	2.371939	intensity	29	neutral	17.796610	83.050847
516.973621	7.221349	ITI	29	neutral	17.796610	83.050847
524.334497	1.373409	trialstart	30	neutral	50.000000	54.237288
527.868118	0.673157	liking	30	neutral	50.000000	54.237288
527.868118	3.061186	intensity	30	neutral	50.000000	54.237288
534.302001	7.875591	ITI	30	neutral	50.000000	54.237288
542.340980	1.312006	trialstart	31	neutral	37.288136	57.627119
545.873056	1.714468	liking	31	neutral	37.288136	57.627119
545.873056	2.131928	intensity	31	neutral	37.288136	57.627119
552.575908	7.546779	ITI	31	neutral	37.288136	57.627119
560.347497	1.327129	trialstart	32	neutral	40.677966	57.627119
563.924845	1.963733	liking	32	neutral	40.677966	57.627119
563.924845	1.932298	intensity	32	neutral	40.677966	57.627119
570.678726	7.465609	ITI	32	neutral	40.677966	57.627119
578.354072	1.342014	trialstart	33	neutral	50.000000	22.033898
581.868399	1.489019	liking	33	neutral	50.000000	22.033898
581.868399	2.204139	intensity	33	neutral	50.000000	22.033898
588.429560	7.736236	ITI	33	neutral	50.000000	22.033898
596.360662	1.385033	trialstart	34	neutral	27.118644	64.406780
599.879062	2.063412	liking	34	neutral	27.118644	64.406780
599.879062	2.035407	intensity	34	neutral	27.118644	64.406780
606.695111	7.520267	ITI	34	neutral	27.118644	64.406780
614.367283	1.394336	trialstart	35	neutral	38.983051	63.559322
617.896923	1.482352	liking	35	neutral	38.983051	63.559322
617.896923	1.796716	intensity	35	neutral	38.983051	63.559322
624.096679	8.134610	ITI	35	neutral	38.983051	63.559322
632.373911	1.384921	trialstart	36	neutral	50.000000	28.813559
635.904220	2.121123	liking	36	neutral	50.000000	28.813559
635.904220	2.371839	intensity	36	neutral	50.000000	28.813559
643.310414	6.918124	ITI	36	neutral	50.000000	28.813559
650.380645	1.371135	trialstart	37	neutral	12.711864	81.355932
653.941288	2.660118	liking	37	neutral	12.711864	81.355932
653.941288	3.651172	intensity	37	neutral	12.711864	81.355932
662.943582	5.277908	ITI	37	neutral	12.711864	81.355932
668.387426	1.376980	trialstart	38	neutral	12.711864	87.288136
671.915104	4.052171	liking	38	neutral	12.711864	87.288136
671.915104	1.621058	intensity	38	neutral	12.711864	87.288136
680.294923	5.939177	ITI	38	neutral	12.711864	87.288136
686.394296	1.321055	trialstart	39	neutral	12.711864	60.169492
689.917649	5.006175	liking	39	neutral	12.711864	60.169492
689.917649	2.139448	intensity	39	neutral	12.711864	60.169492
699.925102	4.259957	ITI	39	neutral	12.711864	60.169492
