onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.008345	2.420574	trialstart	1	neutral	50.000000	12.711864
8.023799	3.884869	liking	1	neutral	50.000000	12.711864
12.406463	3.419956	intensity	1	neutral	50.000000	12.711864
15.826419	4.070728	ITI	1	neutral	50.000000	12.711864
20.247455	2.428821	trialstart	2	neutral	50.000000	12.711864
26.695493	3.901498	liking	2	neutral	50.000000	12.711864
31.096938	2.669864	intensity	2	neutral	50.000000	12.711864
33.766802	4.379362	ITI	2	neutral	50.000000	12.711864
38.251862	2.427849	trialstart	3	neutral	50.000000	12.711864
44.501057	2.865271	liking	3	neutral	50.000000	12.711864
47.866273	4.587366	intensity	3	neutral	50.000000	12.711864
52.453639	3.695963	ITI	3	neutral	50.000000	12.711864
56.256389	2.427869	trialstart	4	chocolate	86.440678	84.745763
62.511719	2.596738	liking	4	chocolate	86.440678	84.745763
65.608405	2.326456	intensity	4	chocolate	86.440678	84.745763
67.934861	6.219290	ITI	4	chocolate	86.440678	84.745763
74.261576	2.428110	trialstart	5	chocolate	87.288136	76.271186
80.519875	3.018022	liking	5	chocolate	87.288136	76.271186
84.037838	2.275523	intensity	5	chocolate	87.288136	76.271186
86.313361	5.846210	ITI	5	chocolate	87.288136	76.271186
92.266185	2.426813	trialstart	6	chocolate	85.593220	65.254237
98.726913	2.599238	liking	6	chocolate	85.593220	65.254237
101.826092	1.944834	intensity	6	chocolate	85.593220	65.254237
103.770926	6.391957	ITI	6	chocolate	85.593220	65.254237
110.276751	2.429657	trialstart	7	empty	77.966102	62.711864
116.719372	3.033273	liking	7	empty	77.966102	62.711864
120.252583	1.516066	intensity	7	empty	77.966102	62.711864
121.768649	6.407637	ITI	7	empty	77.966102	62.711864
128.281321	2.428797	trialstart	8	empty	75.423729	63.559322
134.545312	2.800837	liking	8	empty	75.423729	63.559322
137.846075	2.118529	intensity	8	empty	75.423729	63.559322
139.964604	6.215428	ITI	8	empty	75.423729	63.559322
146.286066	2.428867	trialstart	9	empty	52.542373	12.711864
152.752027	3.140749	liking	9	empty	52.542373	12.711864
156.392723	2.216467	intensity	9	empty	52.542373	12.711864
158.609190	5.575637	ITI	9	empty	52.542373	12.711864
164.290836	2.428875	trialstart	10	chocolate	83.898305	65.254237
170.738696	2.051196	liking	10	chocolate	83.898305	65.254237
173.289838	3.185058	intensity	10	chocolate	83.898305	65.254237
176.474896	5.714714	ITI	10	chocolate	83.898305	65.254237
182.295497	2.428804	trialstart	11	chocolate	81.355932	74.576271
188.546099	2.500726	liking	11	chocolate	81.355932	74.576271
191.546749	2.289997	intensity	11	chocolate	81.355932	74.576271
193.836746	6.357447	ITI	11	chocolate	81.355932	74.576271
200.300932	2.428850	trialstart	12	chocolate	66.949153	59.322034
206.753805	2.227432	liking	12	chocolate	66.949153	59.322034
209.481183	1.167022	intensity	12	chocolate	66.949153	59.322034
210.648205	7.551455	ITI	12	chocolate	66.949153	59.322034
218.305623	2.428870	trialstart	13	neutral	62.711864	36.440678
224.561492	3.171085	liking	13	neutral	62.711864	36.440678
228.232508	3.550411	intensity	13	neutral	62.711864	36.440678
231.782919	4.421468	ITI	13	neutral	62.711864	36.440678
236.310301	2.428897	trialstart	14	neutral	50.000000	12.711864
242.568150	1.679434	liking	14	neutral	50.000000	12.711864
244.747527	2.343338	intensity	14	neutral	50.000000	12.711864
247.090866	7.118218	ITI	14	neutral	50.000000	12.711864
254.315696	2.428837	trialstart	15	neutral	50.000000	12.711864
260.576696	2.884079	liking	15	neutral	50.000000	12.711864
263.960722	2.960351	intensity	15	neutral	50.000000	12.711864
266.921072	5.293340	ITI	15	neutral	50.000000	12.711864
272.321147	2.428848	trialstart	16	empty	61.016949	14.406780
278.784374	2.067129	liking	16	empty	61.016949	14.406780
281.351436	4.394916	intensity	16	empty	61.016949	14.406780
285.746352	4.473546	ITI	16	empty	61.016949	14.406780
290.325874	2.429114	trialstart	17	empty	62.711864	28.813559
296.773547	2.547457	liking	17	empty	62.711864	28.813559
299.820950	2.745717	intensity	17	empty	62.711864	28.813559
302.566667	5.658222	ITI	17	empty	62.711864	28.813559
