onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.547677	17.071859	trialstart	1	11	2	
17.615885	2.983273	ITI	1	11	2	
20.607897	17.332014	trialstart	2	16	2	
37.939891	2.198712	ITI	2	16	2	
40.143840	17.073694	trialstart	3	18	2	
57.217512	3.457027	ITI	3	18	2	
60.680089	16.995855	trialstart	4	18	2	
77.675920	2.534870	ITI	4	18	2	
80.216431	14.820099	trialstart	5	17	1	
95.036507	5.710599	ITI	5	17	1	
100.752856	17.608856	trialstart	6	20	2	
118.361690	2.421869	ITI	6	20	2	
120.789622	16.815317	trialstart	7	17	2	
137.604915	3.215430	ITI	7	17	2	
140.826516	16.988022	trialstart	8	18	2	
157.814515	3.542695	ITI	8	18	2	
161.363656	17.393540	trialstart	9	14	2	
178.757170	3.137190	ITI	9	14	2	
181.901313	16.782228	trialstart	10	16	2	
198.683514	2.748628	ITI	10	16	2	
201.438823	17.287708	trialstart	11	18	2	
218.726507	2.243008	ITI	11	18	2	
220.976398	17.076666	trialstart	12	18	2	
238.053040	2.454061	ITI	12	18	2	
240.514159	17.348639	trialstart	13	15	2	
257.862775	2.182102	ITI	13	15	2	
260.052102	17.637091	trialstart	14	15	2	
277.689214	2.893630	ITI	14	15	2	
280.590216	16.642103	trialstart	15	14	2	
297.232297	3.888623	ITI	15	14	2	
301.128448	17.329782	trialstart	16	18	2	
318.458205	2.700946	ITI	16	18	2	
321.166851	14.368737	trialstart	17	13	1	
335.535572	6.162002	ITI	17	13	1	
341.705515	17.371807	trialstart	18	14	2	
359.077297	2.658920	ITI	18	14	2	
361.744295	14.743615	trialstart	19	16	1	
376.487886	5.287108	ITI	19	16	1	
381.783165	17.163517	trialstart	20	15	2	
398.946658	2.867211	ITI	20	15	2	
401.822176	17.050868	trialstart	21	19	2	
418.873022	2.479860	ITI	21	19	2	
421.361426	17.321318	trialstart	22	7	2	
438.682719	2.209418	ITI	22	7	2	
440.900887	14.559310	trialstart	23	10	1	
455.460173	5.471415	ITI	23	10	1	
460.940540	16.895160	trialstart	24	10	2	
477.835675	3.635578	ITI	24	10	2	
