onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016622	1.388884	trialstart	1	neutral	68.644068	64.406780
5.514273	6.586948	liking	1	neutral	68.644068	64.406780
5.514273	6.530452	intensity	1	neutral	68.644068	64.406780
21.320566	0.496247	ITI	1	neutral	68.644068	64.406780
21.981258	1.433452	trialstart	2	neutral	55.932203	61.016949
25.485166	2.789298	liking	2	neutral	55.932203	61.016949
25.485166	2.779543	intensity	2	neutral	55.932203	61.016949
34.011142	5.873279	ITI	2	neutral	55.932203	61.016949
39.987004	1.412235	trialstart	3	neutral	55.084746	60.169492
43.506788	3.645107	liking	3	neutral	55.084746	60.169492
43.506788	3.276308	intensity	3	neutral	55.084746	60.169492
53.157362	4.711543	ITI	3	neutral	55.084746	60.169492
57.992858	1.412137	trialstart	4	neutral	55.932203	55.084746
61.506420	4.710825	liking	4	neutral	55.932203	55.084746
61.506420	3.036144	intensity	4	neutral	55.932203	55.084746
72.181902	3.692818	ITI	4	neutral	55.932203	55.084746
75.998677	1.357601	trialstart	5	neutral	54.237288	54.237288
79.513846	3.315183	liking	5	neutral	54.237288	54.237288
79.513846	2.196466	intensity	5	neutral	54.237288	54.237288
87.702909	6.123101	ITI	5	neutral	54.237288	54.237288
94.004669	1.428326	trialstart	6	neutral	53.389831	53.389831
97.504853	3.322088	liking	6	neutral	53.389831	53.389831
97.504853	1.802531	intensity	6	neutral	53.389831	53.389831
105.380276	6.522434	ITI	6	neutral	53.389831	53.389831
112.010440	1.408514	trialstart	7	neutral	51.694915	52.542373
115.525006	4.920717	liking	7	neutral	51.694915	52.542373
115.525006	3.811369	intensity	7	neutral	51.694915	52.542373
126.985065	2.903649	ITI	7	neutral	51.694915	52.542373
130.016253	1.423837	trialstart	8	neutral	50.847458	51.694915
133.516112	5.320231	liking	8	neutral	50.847458	51.694915
133.516112	3.028662	intensity	8	neutral	50.847458	51.694915
144.615826	3.293973	ITI	8	neutral	50.847458	51.694915
148.022154	1.389605	trialstart	9	neutral	50.000000	46.610169
151.535898	3.529483	liking	9	neutral	50.000000	46.610169
151.535898	3.108080	intensity	9	neutral	50.000000	46.610169
161.085067	4.796376	ITI	9	neutral	50.000000	46.610169
166.028089	1.417751	trialstart	10	neutral	65.254237	65.254237
169.543792	3.539995	liking	10	neutral	65.254237	65.254237
169.543792	2.932056	intensity	10	neutral	65.254237	65.254237
178.752692	5.162879	ITI	10	neutral	65.254237	65.254237
184.033985	1.418629	trialstart	11	neutral	55.932203	61.864407
187.540990	2.124893	liking	11	neutral	55.932203	61.864407
187.540990	1.963767	intensity	11	neutral	55.932203	61.864407
194.569125	7.353205	ITI	11	neutral	55.932203	61.864407
202.039895	1.418653	trialstart	12	neutral	63.559322	68.644068
205.543193	2.995358	liking	12	neutral	63.559322	68.644068
205.543193	2.300262	intensity	12	neutral	63.559322	68.644068
213.777350	6.150929	ITI	12	neutral	63.559322	68.644068
220.045870	1.425421	trialstart	13	neutral	44.067797	45.762712
223.562413	2.271193	liking	13	neutral	44.067797	45.762712
223.562413	2.517604	intensity	13	neutral	44.067797	45.762712
231.296419	6.644602	ITI	13	neutral	44.067797	45.762712
238.051844	1.417914	trialstart	14	neutral	44.915254	44.067797
241.551236	1.489296	liking	14	neutral	44.915254	44.067797
241.551236	1.588837	intensity	14	neutral	44.915254	44.067797
247.367496	8.571995	ITI	14	neutral	44.915254	44.067797
256.057840	1.429921	trialstart	15	neutral	38.135593	36.440678
259.566368	1.770790	liking	15	neutral	38.135593	36.440678
259.566368	2.139639	intensity	15	neutral	38.135593	36.440678
266.227452	7.730013	ITI	15	neutral	38.135593	36.440678
274.063864	1.414139	trialstart	16	neutral	38.135593	66.101695
277.578039	2.030219	liking	16	neutral	38.135593	66.101695
277.578039	2.211931	intensity	16	neutral	38.135593	66.101695
284.754674	7.193065	ITI	16	neutral	38.135593	66.101695
292.069906	1.427705	trialstart	17	neutral	38.135593	66.101695
295.578533	1.965263	liking	17	neutral	38.135593	66.101695
295.578533	2.859646	intensity	17	neutral	38.135593	66.101695
303.351958	6.615374	ITI	17	neutral	38.135593	66.101695
310.075977	1.433558	trialstart	18	neutral	21.186441	80.508475
313.579651	2.722872	liking	18	neutral	21.186441	80.508475
313.579651	2.011241	intensity	18	neutral	21.186441	80.508475
321.068925	6.910349	ITI	18	neutral	21.186441	80.508475
328.082080	1.424468	trialstart	19	neutral	29.661017	67.796610
331.592712	2.350628	liking	19	neutral	29.661017	67.796610
331.592712	1.741250	intensity	19	neutral	29.661017	67.796610
338.628835	7.347441	ITI	19	neutral	29.661017	67.796610
346.088187	1.435238	trialstart	20	neutral	24.576271	72.881356
349.590556	1.648801	liking	20	neutral	24.576271	72.881356
349.590556	2.051222	intensity	20	neutral	24.576271	72.881356
356.245448	7.747701	ITI	20	neutral	24.576271	72.881356
364.094341	1.416187	trialstart	21	neutral	13.559322	84.745763
367.599023	2.881451	liking	21	neutral	13.559322	84.745763
367.599023	2.555642	intensity	21	neutral	13.559322	84.745763
375.770030	6.210216	ITI	21	neutral	13.559322	84.745763
382.100543	1.414259	trialstart	22	neutral	38.135593	63.559322
385.626794	2.460110	liking	22	neutral	38.135593	63.559322
385.626794	2.315786	intensity	22	neutral	38.135593	63.559322
393.136630	6.847896	ITI	22	neutral	38.135593	63.559322
400.106840	1.423543	trialstart	23	neutral	34.745763	67.796610
403.614867	3.175436	liking	23	neutral	34.745763	67.796610
403.614867	2.468191	intensity	23	neutral	34.745763	67.796610
412.002269	5.997861	ITI	23	neutral	34.745763	67.796610
418.113126	1.427699	trialstart	24	neutral	35.593220	66.101695
421.622306	4.895207	liking	24	neutral	35.593220	66.101695
421.622306	2.331987	intensity	24	neutral	35.593220	66.101695
431.597319	4.413231	ITI	24	neutral	35.593220	66.101695
436.119444	1.419710	trialstart	25	neutral	50.000000	58.474576
439.632901	4.492898	liking	25	neutral	50.000000	58.474576
439.632901	3.683905	intensity	25	neutral	50.000000	58.474576
450.548838	3.460058	ITI	25	neutral	50.000000	58.474576
454.125806	1.430669	trialstart	26	neutral	46.610169	57.627119
457.638331	2.174665	liking	26	neutral	46.610169	57.627119
457.638331	2.060303	intensity	26	neutral	46.610169	57.627119
464.823939	7.202247	ITI	26	neutral	46.610169	57.627119
472.132187	1.424713	trialstart	27	neutral	47.457627	61.016949
475.632062	3.723347	liking	27	neutral	47.457627	61.016949
475.632062	3.652190	intensity	27	neutral	47.457627	61.016949
485.752513	4.274103	ITI	27	neutral	47.457627	61.016949
490.138545	1.426569	trialstart	28	neutral	54.237288	63.559322
493.642514	2.273473	liking	28	neutral	54.237288	63.559322
493.642514	2.652812	intensity	28	neutral	54.237288	63.559322
501.315172	6.719664	ITI	28	neutral	54.237288	63.559322
508.144920	1.413746	trialstart	29	neutral	66.101695	69.491525
511.656604	2.609836	liking	29	neutral	66.101695	69.491525
511.656604	2.211866	intensity	29	neutral	66.101695	69.491525
519.212867	6.815509	ITI	29	neutral	66.101695	69.491525
526.151387	1.425024	trialstart	30	neutral	85.593220	65.254237
529.664281	2.863691	liking	30	neutral	85.593220	65.254237
529.664281	2.475864	intensity	30	neutral	85.593220	65.254237
537.752036	6.294093	ITI	30	neutral	85.593220	65.254237
544.157824	1.413968	trialstart	31	neutral	50.000000	51.694915
547.666497	1.764700	liking	31	neutral	50.000000	51.694915
547.666497	4.275427	intensity	31	neutral	50.000000	51.694915
556.637065	5.404453	ITI	31	neutral	50.000000	51.694915
562.164303	1.428111	trialstart	32	neutral	46.610169	54.237288
565.669878	3.189741	liking	32	neutral	46.610169	54.237288
565.669878	2.499434	intensity	32	neutral	46.610169	54.237288
574.106608	5.955544	ITI	32	neutral	46.610169	54.237288
580.170771	1.410118	trialstart	33	neutral	50.000000	42.372881
583.674613	2.553004	liking	33	neutral	50.000000	42.372881
583.674613	1.860310	intensity	33	neutral	50.000000	42.372881
591.015913	7.034683	ITI	33	neutral	50.000000	42.372881
598.177342	1.433693	trialstart	34	chocolate	77.966102	63.559322
601.687197	3.982528	liking	34	chocolate	77.966102	63.559322
601.687197	3.043349	intensity	34	chocolate	77.966102	63.559322
611.470646	4.610100	ITI	34	chocolate	77.966102	63.559322
616.183875	1.425120	trialstart	35	chocolate	85.593220	71.186441
619.691687	2.550005	liking	35	chocolate	85.593220	71.186441
619.691687	3.027157	intensity	35	chocolate	85.593220	71.186441
628.213977	5.864750	ITI	35	chocolate	85.593220	71.186441
634.190449	1.424982	trialstart	36	chocolate	79.661017	64.406780
637.693592	3.194659	liking	36	chocolate	79.661017	64.406780
637.693592	6.532534	intensity	36	chocolate	79.661017	64.406780
650.166673	1.918489	ITI	36	chocolate	79.661017	64.406780
652.197047	1.420032	trialstart	37	empty	50.000000	16.101695
655.695764	1.703515	liking	37	empty	50.000000	16.101695
655.695764	4.810368	intensity	37	empty	50.000000	16.101695
665.152084	4.934720	ITI	37	empty	50.000000	16.101695
670.203665	1.419996	trialstart	38	empty	50.000000	12.711864
673.712770	2.554620	liking	38	empty	50.000000	12.711864
673.712770	4.389100	intensity	38	empty	50.000000	12.711864
683.392383	4.700881	ITI	38	empty	50.000000	12.711864
688.210301	1.427770	trialstart	39	empty	50.000000	12.711864
691.713655	1.274620	liking	39	empty	50.000000	12.711864
691.713655	2.915988	intensity	39	empty	50.000000	12.711864
698.855994	7.251787	ITI	39	empty	50.000000	12.711864
