onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.469798	77.966102	1	1
0	0	2	CSplus	0.435514	77.966102	1	2
0	0	3	CSplus	0.535027	77.966102	1	3
0	0	4	CSminus	0.381882	54.237288	1	1
0	0	5	CSminus	0.515671	54.237288	1	2
0	0	6	CSminus	0.678136	54.237288	1	3
0	0	7	CSplus	0.551934	77.966102	1	1
0	0	8	CSplus	0.461540	77.966102	1	2
0	0	9	CSplus	0.430951	77.966102	1	3
0	0	10	CSminus	0.652455	54.237288	1	1
0	0	11	CSminus	0.415546	54.237288	1	2
0	0	12	CSminus	0.589756	54.237288	1	3
0	0	13	CSplus	0.324926	77.966102	1	1
0	0	14	CSplus	0.413911	77.966102	1	2
0	0	15	CSplus	0.370349	77.966102	1	3
0	0	16	CSminus	0.675006	54.237288	1	1
0	0	17	CSminus	0.532350	54.237288	1	2
0	0	18	CSminus	0.667606	54.237288	1	3
0	0	19	CSplus	0.085570	77.966102	1	1
0	0	20	CSplus	0.637232	77.966102	1	2
0	0	21	CSplus	0.821988	77.966102	1	3
0	0	22	CSminus	0.468627	54.237288	1	1
0	0	23	CSminus	0.455940	54.237288	1	2
0	0	24	CSminus	0.336602	54.237288	1	3
0	0	25	CSplus	0.448479	77.966102	1	1
0	0	26	CSplus	0.500559	77.966102	1	2
0	0	27	CSplus	0.553973	77.966102	1	3
0	0	28	CSminus	0.505167	54.237288	1	1
0	0	29	CSminus	0.738943	54.237288	1	2
0	0	30	CSminus	0.521975	54.237288	1	3
0	0	31	CSplus	0.362243	77.966102	1	1
0	0	32	CSplus	0.547059	77.966102	1	2
0	0	33	CSplus	0.340873	77.966102	1	3
0	0	34	CSminus	0.468993	54.237288	1	1
0	0	35	CSminus	0.424654	54.237288	1	2
0	0	36	CSminus	0.472546	54.237288	1	3
0	0	37	CSplus	0.370275	77.966102	1	1
0	0	38	CSplus	1.000000	77.966102	0	2
0	0	39	CSplus	0.359171	77.966102	1	3
0	0	40	CSminus	0.391244	54.237288	1	1
0	0	41	CSminus	0.678519	54.237288	1	2
0	0	42	CSminus	0.469831	54.237288	1	3
0	0	43	CSplus	0.416150	77.966102	1	1
0	0	44	CSplus	0.584615	77.966102	1	2
0	0	45	CSplus	0.460649	77.966102	1	3
0	0	46	CSminus	0.331051	54.237288	1	1
0	0	47	CSminus	0.440004	54.237288	1	2
0	0	48	CSminus	0.643826	54.237288	1	3
0	0	49	CSplus	0.359834	77.966102	1	1
0	0	50	CSplus	0.525774	77.966102	1	2
0	0	51	CSplus	0.530627	77.966102	1	3
0	0	52	CSminus	0.597036	54.237288	1	1
0	0	53	CSminus	0.568842	54.237288	1	2
0	0	54	CSminus	0.323099	54.237288	1	3
0	0	55	CSplus	0.392158	77.966102	1	1
0	0	56	CSplus	0.732450	77.966102	1	2
0	0	57	CSplus	0.827270	77.966102	1	3
0	0	58	CSminus	0.366579	54.237288	1	1
0	0	59	CSminus	0.586674	54.237288	1	2
0	0	60	CSminus	0.309010	54.237288	1	3
0	0	61	CSplus	0.403878	77.966102	1	1
0	0	62	CSplus	0.605039	77.966102	1	2
0	0	63	CSplus	0.460778	77.966102	1	3
0	0	64	CSminus	0.441465	54.237288	1	1
0	0	65	CSminus	0.309379	54.237288	1	2
0	0	66	CSminus	0.321969	54.237288	1	3
0	0	67	CSplus	0.488609	77.966102	1	1
0	0	68	CSplus	0.436054	77.966102	1	2
0	0	69	CSplus	0.621432	77.966102	1	3
0	0	70	CSminus	0.378623	54.237288	1	1
0	0	71	CSminus	0.334405	54.237288	1	2
0	0	72	CSminus	0.490999	54.237288	1	3
0	0	73	CSplus	0.423263	77.966102	1	1
0	0	74	CSplus	1.000000	77.966102	0	2
0	0	75	CSplus	0.416849	77.966102	1	3
0	0	76	CSminus	0.311028	54.237288	1	1
0	0	77	CSminus	0.313161	54.237288	1	2
0	0	78	CSminus	1.000000	54.237288	0	3
0	0	79	CSplus	0.352555	77.966102	1	1
0	0	80	CSplus	0.411639	77.966102	1	2
0	0	81	CSplus	0.949137	77.966102	1	3
0	0	82	CSminus	0.427901	54.237288	1	1
0	0	83	CSminus	0.776171	54.237288	1	2
0	0	84	CSminus	0.528788	54.237288	1	3
0	0	85	CSplus	0.985392	77.966102	1	1
0	0	86	CSplus	0.640289	77.966102	1	2
0	0	87	CSplus	0.519016	77.966102	1	3
0	0	88	CSminus	0.341564	54.237288	1	1
0	0	89	CSminus	0.287125	54.237288	1	2
0	0	90	CSminus	0.436706	54.237288	1	3
0	0	91	CSplus	0.370779	77.966102	1	1
0	0	92	CSplus	0.635938	77.966102	1	2
0	0	93	CSplus	1.000000	77.966102	0	3
0	0	94	CSminus	0.348685	54.237288	1	1
0	0	95	CSminus	0.449535	54.237288	1	2
0	0	96	CSminus	0.314238	54.237288	1	3
0	0	97	CSplus	0.450647	77.966102	1	1
0	0	98	CSplus	0.472259	77.966102	1	2
0	0	99	CSplus	0.369265	77.966102	1	3
0	0	100	CSminus	0.376565	54.237288	1	1
0	0	101	CSminus	0.745828	54.237288	1	2
0	0	102	CSminus	0.388851	54.237288	1	3
0	0	103	CSplus	0.399920	77.966102	1	1
0	0	104	CSplus	0.372974	77.966102	1	2
0	0	105	CSplus	0.840701	77.966102	1	3
0	0	106	CSminus	0.590492	54.237288	1	1
0	0	107	CSminus	0.297960	54.237288	1	2
0	0	108	CSminus	0.374912	54.237288	1	3
0	0	109	Baseline	NaN	81.355932	NaN	NaN
