onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.006856	17.220083	trialstart	1	None	11	2	Reminder
17.224596	2.827676	ITI	1	None	11	2	Reminder
20.057628	16.725836	trialstart	2	None	15	2	Reminder
36.783434	2.804584	ITI	2	None	15	2	Reminder
39.592595	16.634134	trialstart	3	None	16	2	Reminder
56.226679	3.896295	ITI	3	None	16	2	Reminder
60.131983	14.340817	trialstart	1	None	18	1	Partial_Extinction
74.471090	5.698939	ITI	1	None	18	1	Partial_Extinction
80.174284	14.355654	trialstart	2	None	19	1	Partial_Extinction
94.529895	5.174608	ITI	2	None	19	1	Partial_Extinction
99.709062	14.347313	trialstart	3	None	22	1	Partial_Extinction
114.056330	5.682975	ITI	3	None	22	1	Partial_Extinction
119.743889	14.505433	trialstart	4	None	23	1	Partial_Extinction
134.249278	5.024843	ITI	4	None	23	1	Partial_Extinction
139.278790	14.330394	trialstart	5	None	16	1	Partial_Extinction
153.609122	6.199936	ITI	5	None	16	1	Partial_Extinction
159.814527	14.687344	trialstart	6	None	15	1	Partial_Extinction
174.501828	5.842986	ITI	6	None	15	1	Partial_Extinction
180.353551	11.997992	trialstart	1	Baseline	11	0	PIT
192.396027	8.002008	ITI	1	Baseline	11	0	PIT
200.398265	11.996344	trialstart	2	Baseline	5	0	PIT
212.438486	7.503656	ITI	2	Baseline	5	0	PIT
219.942219	11.995372	trialstart	3	Baseline	16	0	PIT
231.981669	8.504628	ITI	3	Baseline	16	0	PIT
240.490551	11.990086	trialstart	4	CSminus	6	0	PIT
252.524460	8.009914	ITI	4	CSminus	6	0	PIT
260.534451	11.989515	trialstart	5	CSminus	2	0	PIT
272.567362	7.510485	ITI	5	CSminus	2	0	PIT
280.077928	11.989046	trialstart	6	CSminus	3	0	PIT
292.110529	8.510954	ITI	6	CSminus	3	0	PIT
300.625988	12.000515	trialstart	7	CSplus	23	0	PIT
312.669954	7.999485	ITI	7	CSplus	23	0	PIT
320.669520	12.000403	trialstart	8	CSplus	23	0	PIT
332.713012	7.499597	ITI	8	CSplus	23	0	PIT
340.212688	12.000197	trialstart	9	CSplus	21	0	PIT
352.256075	8.499803	ITI	9	CSplus	21	0	PIT
360.765321	11.990942	trialstart	10	CSplus	5	0	PIT
372.798865	7.509058	ITI	10	CSplus	5	0	PIT
380.308003	11.991276	trialstart	11	CSplus	19	0	PIT
392.342062	8.508724	ITI	11	CSplus	19	0	PIT
400.850884	11.990039	trialstart	12	CSplus	11	0	PIT
412.884820	8.009961	ITI	12	CSplus	11	0	PIT
420.901993	12.000220	trialstart	13	CSminus	3	0	PIT
432.944453	7.499780	ITI	13	CSminus	3	0	PIT
440.444308	12.000505	trialstart	14	CSminus	2	0	PIT
452.487565	8.499495	ITI	14	CSminus	2	0	PIT
460.987162	11.999572	trialstart	15	CSminus	3	0	PIT
473.030470	8.000428	ITI	15	CSminus	3	0	PIT
481.037896	11.992083	trialstart	16	Baseline	4	0	PIT
493.073338	7.507917	ITI	16	Baseline	4	0	PIT
500.581335	11.991780	trialstart	17	Baseline	4	0	PIT
512.616517	8.508220	ITI	17	Baseline	4	0	PIT
521.124814	11.991547	trialstart	18	Baseline	3	0	PIT
533.159307	8.008453	ITI	18	Baseline	3	0	PIT
541.181742	11.994699	trialstart	19	CSplus	13	0	PIT
553.218989	7.505301	ITI	19	CSplus	13	0	PIT
560.724368	11.994809	trialstart	20	CSplus	5	0	PIT
572.762062	8.505191	ITI	20	CSplus	5	0	PIT
581.267332	11.993723	trialstart	21	CSplus	6	0	PIT
593.304884	8.006277	ITI	21	CSplus	6	0	PIT
601.318094	11.987391	trialstart	22	CSminus	2	0	PIT
613.347860	7.512609	ITI	22	CSminus	2	0	PIT
620.860549	11.987571	trialstart	23	CSminus	1	0	PIT
632.890982	8.512429	ITI	23	CSminus	1	0	PIT
641.403489	11.986667	trialstart	24	CSminus	5	0	PIT
653.433790	8.013333	ITI	24	CSminus	5	0	PIT
661.454344	11.996405	trialstart	25	Baseline	1	0	PIT
673.493381	7.503595	ITI	25	Baseline	1	0	PIT
680.997053	11.995506	trialstart	26	Baseline	0	0	PIT
693.036584	8.504494	ITI	26	Baseline	0	0	PIT
701.541157	11.994991	trialstart	27	Baseline	2	0	PIT
713.579356	8.005009	ITI	27	Baseline	2	0	PIT
721.599512	11.996675	trialstart	28	CSminus	4	0	PIT
733.638989	8.503325	ITI	28	CSminus	4	0	PIT
742.142392	11.995861	trialstart	29	CSminus	0	0	PIT
754.181781	8.004139	ITI	29	CSminus	0	0	PIT
762.185999	11.995756	trialstart	30	CSminus	0	0	PIT
774.224703	7.504244	ITI	30	CSminus	0	0	PIT
781.736027	11.988618	trialstart	31	Baseline	1	0	PIT
793.767864	8.511382	ITI	31	Baseline	1	0	PIT
802.279327	11.988297	trialstart	32	Baseline	4	0	PIT
814.310652	8.011703	ITI	32	Baseline	4	0	PIT
822.322446	11.988713	trialstart	33	Baseline	4	0	PIT
834.353663	7.511287	ITI	33	Baseline	4	0	PIT
841.871948	11.997758	trialstart	34	CSplus	18	0	PIT
853.913426	8.502242	ITI	34	CSplus	18	0	PIT
862.415773	11.997999	trialstart	35	CSplus	2	0	PIT
874.456223	8.002001	ITI	35	CSplus	2	0	PIT
882.458304	11.996881	trialstart	36	CSplus	13	0	PIT
894.499160	7.503119	ITI	36	CSplus	13	0	PIT
902.018673	11.997254	trialstart	37	CSplus	13	0	PIT
914.059040	7.502746	ITI	37	CSplus	13	0	PIT
921.561874	11.998054	trialstart	38	CSplus	13	0	PIT
933.602136	8.001946	ITI	38	CSplus	13	0	PIT
941.604158	11.997131	trialstart	39	CSplus	22	0	PIT
953.645131	8.502869	ITI	39	CSplus	22	0	PIT
962.155059	11.989054	trialstart	40	Baseline	2	0	PIT
974.187903	7.510946	ITI	40	Baseline	2	0	PIT
981.698945	11.988231	trialstart	41	Baseline	0	0	PIT
993.731097	8.011769	ITI	41	Baseline	0	0	PIT
1001.742944	11.987739	trialstart	42	Baseline	1	0	PIT
1013.773981	8.512261	ITI	42	Baseline	1	0	PIT
1022.293421	11.996897	trialstart	43	CSminus	1	0	PIT
1034.333533	7.503103	ITI	43	CSminus	1	0	PIT
1041.836717	11.996415	trialstart	44	CSminus	2	0	PIT
1053.876577	8.003585	ITI	44	CSminus	2	0	PIT
1061.880241	11.996746	trialstart	45	CSminus	0	0	PIT
1073.919621	8.503254	ITI	45	CSminus	0	0	PIT
